id,player_id,time,event,action,action_result,x_begin,y_begin,x_end,y_end
1904967,21,2,3,19,1,34,27,35.0,37.0
1904979,21,3,3,19,1,66,25,67.0,18.0
1904980,21,3,0,10,27,67,18,64.0,18.0
1904995,21,3,3,20,26,72,33,93.0,28.0
1905029,21,6,3,19,1,56,42,65.0,70.0
1905077,21,8,0,8,27,92,28,98.0,26.0
1905102,21,10,0,8,27,42,31,41.0,29.0
1905139,21,13,0,8,27,48,58,48.0,54.0
1905169,21,15,0,10,27,81,33,79.0,35.0
1905212,21,18,0,8,22,50,12,47.0,16.0
1905213,21,18,3,19,1,47,16,31.0,53.0
1905253,21,20,3,19,1,62,81,58.0,81.0
1905255,21,20,0,8,27,64,91,63.0,88.0
1905326,21,25,1,5,1,66,66,80.0,74.0
1905341,21,26,0,8,22,88,27,87.0,26.0
1905342,21,26,3,19,1,87,26,77.0,25.0
1905434,21,34,3,19,1,79,29,76.0,44.0
1905453,21,35,3,19,1,48,24,45.0,34.0
1905457,21,35,3,19,1,42,35,58.0,41.0
1905489,21,37,0,8,27,29,26,29.0,24.0
1905554,21,41,2,0,1,44,5,57.0,30.0
1905580,21,43,0,8,22,83,9,81.0,12.0
1905583,21,43,0,8,27,81,12,81.0,11.0
1905584,21,43,0,8,22,81,11,80.0,11.0
1905596,21,44,0,8,27,97,16,99.0,26.0
1905612,21,45,0,10,22,69,43,68.0,45.0
1905614,21,45,0,10,27,68,45,70.0,34.0
1905616,21,45,3,19,1,70,34,79.0,16.0
1905650,21,48,3,19,1,50,48,43.0,45.0
1905806,21,60,3,4,19,77,9,33.0,53.0
1905901,21,67,3,19,5,44,19,66.0,20.0
1905982,21,72,3,19,1,47,19,41.0,4.0
1905984,21,72,0,8,27,38,14,36.0,12.0
1906018,21,73,0,8,27,95,23,98.0,22.0
1906019,21,73,3,4,0,98,22,82.0,68.0
1906060,21,75,3,19,3,77,24,86.0,38.0
1906080,21,77,0,10,22,92,1,92.0,0.0
1904925,335,0,3,19,1,27,28,28.0,13.0
1904933,335,1,3,19,1,56,53,67.0,59.0
1904966,335,2,3,19,1,34,24,34.0,27.0
1904969,335,2,0,8,27,35,37,41.0,46.0
1904971,335,2,0,8,27,41,46,39.0,45.0
1904975,335,2,3,19,1,46,24,37.0,29.0
1904978,335,2,3,19,1,60,13,66.0,25.0
1905016,335,5,0,8,27,20,98,25.0,97.0
1905037,335,6,3,19,1,58,22,66.0,23.0
1905053,335,7,1,21,1,63,0,45.0,10.0
1905111,335,12,3,19,1,46,11,35.0,30.0
1905176,335,15,3,19,1,79,12,69.0,6.0
1905178,335,15,3,19,1,60,11,54.0,18.0
1905246,335,20,3,19,1,61,6,61.0,21.0
1905248,335,20,3,19,1,58,9,42.0,11.0
1905250,335,20,3,19,1,45,11,38.0,52.0
1905338,335,26,3,19,1,68,42,77.0,26.0
1905343,335,26,3,19,1,77,25,73.0,35.0
1905368,335,29,0,9,27,6,11,2.0,16.0
