id,club_id,match_id,players_id,matchperiod,eventsec,eventname,action,modifier,x_begin,y_begin,x_end,y_end,is_success
26588,81,364,178,1H,2026.197574,Others on the ball,Touch,opportunity,97,58,95.0,68.0,
26359,81,364,22,1H,1424.517556,Others on the ball,Touch,missed ball,68,37,67.0,24.0,
27426,81,364,1669,2H,2002.3178260000004,Others on the ball,Touch,missed ball,73,9,63.0,4.0,
25909,81,364,178,1H,25.716026000000056,Others on the ball,Touch,missed ball,44,85,31.0,91.0,
26803,81,364,1975,1H,2780.857234,Others on the ball,Touch,missed ball,63,33,66.0,5.0,
26587,63,364,36,1H,2026.00445,Others on the ball,Touch,missed ball,7,45,5.0,32.0,
26534,81,364,22,1H,1890.720179,Others on the ball,Touch,missed ball,88,38,88.0,60.0,
25916,81,364,1998,1H,53.496846000000005,Others on the ball,Touch,,21,6,37.0,12.0,
25996,81,364,22,1H,230.63073899999995,Others on the ball,Touch,,88,23,95.0,25.0,
26078,63,364,1362,1H,481.140685,Free Kick,Goal kick,,100,100,37.0,90.0,
26169,63,364,1470,1H,737.5214269999999,Foul,Foul,,43,58,47.0,55.0,
26250,81,364,1669,1H,1085.17073,Others on the ball,Touch,,34,37,42.0,30.0,
26382,81,364,683,1H,1511.078822,Free Kick,Goal kick,,0,0,26.0,68.0,
26442,81,364,1433,1H,1660.2510189999998,Others on the ball,Touch,,28,56,39.0,61.0,
26500,81,364,1998,1H,1794.256976,Others on the ball,Touch,,54,21,70.0,21.0,
26648,81,364,1975,1H,2297.242334,Foul,Foul,,23,4,29.0,7.0,
26692,81,364,22,1H,2454.306719,Foul,Foul,,77,8,78.0,9.0,
26735,81,364,22,1H,2619.070385,Others on the ball,Touch,,44,48,57.0,37.0,
26844,81,364,683,2H,53.09144900000001,Free Kick,Goal kick,,0,0,19.0,13.0,
26979,81,364,1669,2H,418.83239599999973,Others on the ball,Touch,,67,23,71.0,35.0,
27031,81,364,1433,2H,598.4203729999999,Others on the ball,Touch,,33,52,65.0,45.0,
27108,63,364,1584,2H,897.803562,Foul,Foul,,58,35,57.0,35.0,
27194,81,364,1669,2H,1151.1591600000002,Others on the ball,Touch,,60,34,16.0,9.0,
27270,81,364,1998,2H,1439.9858249999995,Others on the ball,Touch,,63,8,75.0,17.0,
27322,81,364,1998,2H,1667.6409700000004,Others on the ball,Touch,,72,4,73.0,9.0,
27397,81,364,22,2H,1924.627878,Others on the ball,Touch,,66,73,69.0,91.0,
27479,81,364,1732,2H,2206.545639,Foul,Foul,,62,15,60.0,24.0,
27536,63,364,1586,2H,2434.783562,Offside,,,88,97,100.0,100.0,
27607,63,364,1617,2H,2762.83478,Foul,Foul,,77,7,74.0,5.0,
25991,81,364,1433,1H,216.606736,Others on the ball,Touch,,14,73,30.0,58.0,
26062,81,364,1631,1H,385.975087,Foul,Foul,,92,92,91.0,91.0,
26116,63,364,1584,1H,599.814419,Foul,Foul,,65,43,72.0,42.0,
26248,81,364,1630,1H,1082.798209,Others on the ball,Touch,,10,48,11.0,55.0,
26364,81,364,1631,1H,1435.352302,Foul,Foul,,58,88,16.0,22.0,
26427,81,364,22,1H,1613.374605,Offside,,,68,39,0.0,0.0,
26477,81,364,1998,1H,1733.5812179999998,Others on the ball,Touch,,55,17,69.0,21.0,
26641,81,364,107,1H,2204.819183,Foul,Foul,,72,89,71.0,84.0,
26687,81,364,1998,1H,2443.697608,Others on the ball,Touch,,36,9,59.0,10.0,
26732,63,364,1617,1H,2602.054915,Offside,,,73,12,100.0,100.0,
26773,81,364,178,1H,2692.256085,Others on the ball,Touch,,69,69,68.0,63.0,
26960,81,364,683,2H,354.7497189999999,Free Kick,Goal kick,,0,0,38.0,9.0,
27017,81,364,1998,2H,564.6749629999999,Others on the ball,Touch,,39,6,64.0,16.0,
27095,81,364,683,2H,868.4466069999999,Free Kick,Goal kick,,0,0,27.0,80.0,
27170,81,364,1669,2H,1100.5029590000004,Others on the ball,Touch,,54,9,63.0,11.0,
27266,63,364,51,2H,1406.5897960000002,Foul,Foul,,39,75,40.0,84.0,
27305,81,364,940,2H,1547.781623,Foul,Foul,,32,48,28.0,49.0,
27383,81,364,178,2H,1858.015224,Others on the ball,Touch,,65,61,71.0,18.0,
27472,63,364,1362,2H,2197.6316500000003,Free Kick,Goal kick,,100,100,61.0,70.0,
27528,81,364,683,2H,2408.7841980000003,Goalkeeper leaving line,Goalkeeper leaving line,,0,0,34.0,85.0,
27591,81,364,1975,2H,2722.948484,Foul,Foul,,39,85,35.0,87.0,
25940,81,364,1669,1H,102.84481900000004,Others on the ball,Touch,,70,15,66.0,25.0,
26059,81,364,1631,1H,382.056329,Others on the ball,Touch,,90,94,91.0,91.0,
26106,81,364,1630,1H,569.3171299999999,Foul,Foul,,41,7,43.0,7.0,
26220,63,364,1617,1H,998.796636,Others on the ball,Touch,,67,12,80.0,30.0,
26295,81,364,1433,1H,1248.869344,Others on the ball,Touch,,27,45,41.0,37.0,
26403,81,364,1631,1H,1553.590314,Others on the ball,Touch,,43,92,65.0,86.0,
26475,81,364,1433,1H,1728.4565429999998,Others on the ball,Touch,,33,89,41.0,61.0,
26638,63,364,1362,1H,2198.619225,Goalkeeper leaving line,Goalkeeper leaving line,,100,100,0.0,0.0,
26680,81,364,1433,1H,2429.392924,Others on the ball,Touch,,25,39,35.0,48.0,
26712,81,364,1998,1H,2529.779067,Offside,,,94,4,0.0,0.0,
26761,63,364,1617,1H,2669.577196,Others on the ball,Touch,,36,18,34.0,41.0,
26952,81,364,1975,2H,329.95188800000005,Others on the ball,Touch,,64,57,66.0,75.0,
27008,81,364,683,2H,531.9337999999998,Free Kick,Goal kick,,0,0,26.0,77.0,
27064,63,364,1362,2H,778.7180790000002,Free Kick,Goal kick,,100,100,42.0,85.0,
27141,81,364,1669,2H,1019.8247030000002,Offside,,,71,6,0.0,0.0,
27262,63,364,1586,2H,1383.452225,Foul,Foul,,47,10,51.0,16.0,
27292,81,364,1975,2H,1511.5698620000005,Foul,Foul,,46,36,45.0,37.0,
27347,63,364,1362,2H,1787.436208,Free Kick,Goal kick,,100,100,46.0,57.0,
27445,63,364,1362,2H,2120.042576,Free Kick,Goal kick,,100,100,32.0,14.0,
27525,81,364,940,2H,2359.404982,Foul,Foul,,36,82,35.0,81.0,
27572,63,364,1690,2H,2631.731084,Others on the ball,Touch,,33,2,38.0,0.0,
25937,63,364,1584,1H,91.16560300000003,Foul,Foul,,35,66,36.0,65.0,
26000,63,364,1362,1H,256.243379,Free Kick,Goal kick,,100,100,68.0,57.0,
26084,81,364,1998,1H,489.912353,Foul,Foul,,61,7,58.0,6.0,
26218,81,364,1669,1H,976.921987,Offside,,,71,15,0.0,0.0,
26289,63,364,1362,1H,1235.822117,Free Kick,Goal kick,,100,100,64.0,80.0,
26400,81,364,1433,1H,1547.8551699999998,Others on the ball,Touch,,21,38,31.0,52.0,
26456,81,364,1630,1H,1688.306778,Others on the ball,Touch,,92,33,90.0,33.0,
26558,81,364,22,1H,1928.763294,Foul,Foul,,76,73,80.0,70.0,
26665,63,364,36,1H,2392.17844,Others on the ball,Touch,,57,7,64.0,12.0,
26705,81,364,1998,1H,2505.266253,Others on the ball,Touch,,9,30,46.0,23.0,
26759,63,364,711,1H,2663.921504,Others on the ball,Touch,,20,70,25.0,52.0,
26847,81,364,1433,2H,61.161665000000085,Others on the ball,Touch,,18,52,33.0,49.0,
26987,81,364,1998,2H,433.6552919999999,Others on the ball,Touch,,87,7,96.0,42.0,
27060,81,364,1669,2H,737.3037839999997,Others on the ball,Touch,,73,7,18.0,3.0,
27139,81,364,1433,2H,1013.3646200000004,Others on the ball,Touch,,29,46,42.0,39.0,
27220,81,364,683,2H,1250.9711209999996,Free Kick,Goal kick,,0,0,43.0,20.0,
27271,81,364,1998,2H,1443.2601299999997,Others on the ball,Touch,,75,17,19.0,7.0,
27326,63,364,51,2H,1672.5608220000004,Others on the ball,Touch,,31,81,25.0,86.0,
27423,81,364,178,2H,1999.193708,Foul,Foul,,84,37,81.0,34.0,
27513,81,364,683,2H,2334.696419,Free Kick,Goal kick,,0,0,71.0,20.0,
27571,63,364,1362,2H,2629.406812,Free Kick,Goal kick,,100,100,33.0,2.0,
25898,63,364,711,1H,5.852467000000047,Pass,Simple pass,,29,78,39.0,95.0,t
25902,63,364,1470,1H,10.285757999999989,Pass,High pass,,38,73,65.0,17.0,t
25906,63,364,1292,1H,20.19043099999999,Pass,Simple pass,,62,25,52.0,12.0,t
25915,81,364,683,1H,50.018869,Pass,Simple pass,,4,42,21.0,6.0,t
25922,63,364,1470,1H,63.275355999999995,Duel,Ground attacking duel,neutral,39,83,33.0,75.0,t
25930,81,364,1998,1H,82.59988199999998,Pass,Simple pass,,45,3,65.0,3.0,t
25939,81,364,1998,1H,101.86264800000004,Pass,Simple pass,,60,4,70.0,15.0,t
25945,81,364,1658,1H,106.18715099999996,Pass,Head pass,,62,32,68.0,46.0,t
25949,81,364,1433,1H,114.60404500000004,Pass,High pass,,46,54,61.0,3.0,t
25957,81,364,107,1H,140.06665699999996,Others on the ball,Acceleration,,59,20,69.0,24.0,t
25961,81,364,1658,1H,145.41045599999995,Pass,Simple pass,,67,43,66.0,27.0,t
25966,81,364,1669,1H,161.860815,Duel,Ground defending duel,neutral,74,5,77.0,0.0,t
25972,81,364,1433,1H,179.72498700000006,Duel,Ground defending duel,won,57,12,59.0,18.0,t
25979,81,364,107,1H,188.860949,Pass,Simple pass,,66,16,73.0,5.0,t
25986,63,364,1617,1H,201.445339,Duel,Ground loose ball duel,won,31,38,37.0,21.0,t
25992,81,364,1433,1H,221.137941,Pass,Simple pass,,30,58,41.0,3.0,t
25998,81,364,22,1H,231.36665500000004,Duel,Ground defending duel,neutral,95,25,0.0,0.0,t
26005,81,364,1669,1H,264.181413,Pass,Simple pass,,43,3,28.0,10.0,t
26013,63,364,1368,1H,284.46328500000004,Pass,Simple pass,,38,83,12.0,59.0,t
26018,63,364,1261,1H,300.27160100000003,Duel,Air duel,won,62,89,65.0,72.0,t
26024,63,364,1617,1H,310.878334,Pass,Simple pass,,45,37,32.0,6.0,t
26035,81,364,1975,1H,339.66064900000003,Duel,Ground defending duel,neutral,54,36,57.0,37.0,t
26040,81,364,178,1H,344.83917699999995,Pass,Simple pass,,57,66,45.0,51.0,t
26044,81,364,1669,1H,354.500826,Pass,Simple pass,,62,16,73.0,20.0,t
26050,81,364,1630,1H,361.115662,Pass,Simple pass,,74,6,69.0,4.0,t
26056,81,364,1669,1H,375.71645,Pass,Simple pass,,68,24,69.0,56.0,t
26064,81,364,1433,1H,417.746945,Pass,Simple pass,,32,64,29.0,44.0,t
26069,63,364,1586,1H,445.653062,Pass,Simple pass,,40,12,45.0,9.0,t
26074,81,364,22,1H,450.926815,Pass,Simple pass,,63,59,63.0,79.0,t
26082,63,364,1581,1H,487.83089600000005,Duel,Ground attacking duel,won,42,94,39.0,93.0,t
