x,y,speed,distance,direction,role,result
31.46,23.5,0.86,0.13,277.47,3,3
34.89,34.87,1.26,0.14,130.14,3,3
37.95,34.02,0.16,0.09,51.23,3,3
40.47,45.1,2.45,0.37,65.64,3,3
32.8,26.7,3.01,0.31,223.39,3,3
32.27,26.6,2.44,0.23,250.53,3,3
35.72,29.89,1.41,0.22,259.69,3,3
41.78,13.06,3.71,0.38,183.47,3,3
34.06,29.86,2.24,0.29,212.67,3,3
54.87,27.38,4.04,0.43,172.55,3,3
40.35,21.99,3.22,0.31,163.44,3,3
39.9,45.91,2.76,0.4,76.29,0,3
30.22,29.28,1.23,0.1,254.73,1,3
31.55,26.87,1.77,0.19,254.84,0,3
32.35,27.92,1.72,0.18,236.4,0,3
33.33,30.25,2.05,0.26,215.37,0,3
38.69,22.23,4.64,0.48,146.47,0,3
38.97,14.15,5.93,0.65,149.11,2,3
34.43,34.53,1.57,0.18,85.07,0,3
31.88,32.03,1.81,0.22,75.0,0,3
33.58,27.15,2.83,0.36,205.41,0,3
31.08,24.51,1.48,0.18,245.14,0,3
41.49,25.32,3.67,0.39,339.06,3,1
40.1,30.02,3.9,0.5,189.8,3,1
59.47,22.83,2.24,0.14,166.21,3,1
63.8,11.24,3.86,0.51,81.35,3,1
46.68,26.12,0.75,0.09,105.05,3,1
59.84,32.17,2.79,0.26,148.13,3,1
56.24,49.91,1.94,0.27,42.8,3,1
69.1,38.92,2.73,0.31,118.72,3,1
45.12,29.24,2.52,0.28,195.93,3,1
62.43,12.88,2.43,0.26,167.4,3,1
65.11,19.9,2.63,0.25,206.29,3,1
62.05,25.85,5.36,0.6,37.05,0,1
43.41,28.69,1.15,0.17,117.37,1,1
45.27,26.54,0.8,0.08,198.29,0,1
46.31,27.06,0.35,0.05,152.49,0,1
40.14,30.9,4.1,0.45,214.48,0,1
61.06,12.19,3.89,0.45,72.73,0,1
44.51,29.87,1.43,0.11,185.86,0,1
42.48,24.78,2.29,0.32,302.23,0,1
57.76,51.53,5.55,0.61,63.75,0,1
53.83,16.61,3.32,0.3,145.75,2,1
46.31,43.28,5.47,0.59,28.29,0,1
65.09,30.41,3.03,0.23,22.7,3,1
74.51,34.22,5.12,0.63,83.92,3,1
66.81,31.56,6.23,0.63,6.96,3,1
77.28,42.05,7.03,0.71,49.73,3,1
86.41,31.83,4.52,0.51,37.45,3,1
64.95,21.6,1.47,0.19,252.71,3,1
57.0,26.8,2.69,0.26,237.88,3,1
56.05,29.2,2.07,0.36,246.88,3,1
63.18,23.41,0.46,0.07,319.54,3,1
61.95,25.93,0.6,0.12,275.73,3,1
57.19,21.11,2.09,0.26,330.06,3,1
76.04,33.13,5.2,0.63,101.43,0,1
55.64,24.7,0.42,0.09,186.92,1,1
61.34,24.27,0.49,0.06,222.77,0,1
61.89,25.86,0.51,0.05,282.39,0,1
56.47,28.95,2.59,0.35,255.81,0,1
57.11,21.81,1.97,0.24,322.54,0,1
75.92,42.72,8.19,0.9,62.93,0,1
66.13,28.27,0.81,0.11,86.15,0,1
56.9,25.89,2.4,0.23,240.35,0,1
63.08,22.59,0.66,0.1,163.13,0,1
63.52,35.01,6.55,0.69,20.2,2,1
65.28,24.31,2.11,0.3,272.13,3,1
62.64,32.83,4.67,0.49,237.92,3,1
63.94,28.96,5.52,0.61,266.14,3,1
75.61,42.01,5.61,0.61,53.18,3,1
66.16,29.74,1.56,0.25,237.49,3,1
69.8,27.83,6.26,0.66,170.13,3,1
79.01,21.77,4.29,0.44,49.53,3,1
86.89,27.99,2.18,0.23,136.75,3,1
64.31,27.26,2.83,0.3,261.9,3,1
73.36,26.21,2.31,0.26,40.93,3,1
74.07,23.0,2.82,0.28,350.23,3,1
75.2,42.97,6.39,0.7,57.46,0,1
60.88,28.9,3.34,0.34,248.92,1,1
63.59,27.98,2.84,0.37,269.71,0,1
64.4,29.17,2.56,0.36,255.04,0,1
63.13,32.25,3.43,0.35,246.8,0,1
76.98,22.37,5.46,0.63,59.51,0,1
66.03,30.31,1.46,0.2,213.47,0,1
64.33,25.27,1.82,0.22,255.29,0,1
73.04,25.94,2.2,0.28,45.68,0,1
70.96,25.23,3.59,0.41,25.39,0,1
69.68,24.25,6.56,0.66,160.29,2,1
