index,x,y,speed,distance,direction,jerseyNumber,role,playId,result
7739,30.57,23.53,1.2,0.13,318.93,60.0,3,152,2
7793,26.63,24.62,0.73,0.06,301.8,9.0,1,152,2
7847,28.49,21.21,2.87,0.35,304.15,64.0,3,152,2
7901,40.07,38.99,6.5,0.65,63.23,19.0,3,152,2
7955,37.85,32.34,3.84,0.42,26.67,82.0,3,152,2
8009,29.69,21.9,2.99,0.35,256.99,67.0,3,152,2
8063,36.71,47.22,1.98,0.2,62.7,16.0,3,152,2
8117,29.51,25.82,2.2,0.31,274.66,75.0,3,152,2
8171,40.01,4.97,6.41,0.7,107.97,13.0,3,152,2
8225,28.56,27.98,1.85,0.3,265.63,71.0,3,152,2
8279,37.86,13.57,4.43,0.48,131.33,41.0,2,152,2
8333,28.57,20.46,3.65,0.36,302.38,97.0,0,152,2
8387,31.51,23.5,1.18,0.13,314.79,98.0,0,152,2
8441,41.36,38.8,3.83,0.36,63.5,23.0,0,152,2
8495,29.33,26.36,3.81,0.41,260.27,92.0,0,152,2
8549,44.4,30.82,2.5,0.27,5.06,34.0,0,152,2
8603,41.4,13.15,1.46,0.2,140.58,22.0,0,152,2
8657,38.75,45.93,2.1,0.24,99.82,29.0,0,152,2
8711,38.62,20.39,2.18,0.22,31.92,55.0,0,152,2
8765,38.25,31.04,4.53,0.45,358.16,54.0,0,152,2
8819,40.93,6.02,5.55,0.59,108.63,26.0,0,152,2
8873,28.84,28.84,2.25,0.3,252.02,99.0,0,152,2
10317,48.07,25.38,1.9,0.24,279.4,60.0,3,206,1
10383,56.69,31.21,5.18,0.54,106.31,84.0,3,206,1
10449,46.89,21.75,2.15,0.29,167.32,22.0,3,206,1
10515,44.4,25.18,2.2,0.18,308.33,9.0,3,206,1
10581,44.89,21.26,2.11,0.31,316.95,29.0,3,206,1
10647,46.74,24.22,2.65,0.34,327.64,64.0,3,206,1
10713,58.78,6.48,5.8,0.7,104.68,19.0,3,206,1
10779,47.61,23.79,2.54,0.33,285.62,67.0,3,206,1
10845,48.73,26.11,1.68,0.17,249.52,75.0,3,206,1
10911,57.06,44.7,5.05,0.53,144.11,13.0,3,206,1
10977,45.99,27.66,1.96,0.27,256.15,71.0,3,206,1
11043,46.67,28.51,2.97,0.41,232.77,97.0,0,206,1
11109,47.99,24.42,3.04,0.38,288.52,98.0,0,206,1
11175,49.46,25.93,0.76,0.03,334.52,92.0,0,206,1
11241,57.44,31.56,3.13,0.37,119.63,34.0,0,206,1
11307,69.23,25.19,2.69,0.31,29.53,22.0,0,206,1
11373,59.72,43.57,2.13,0.2,152.15,29.0,0,206,1
11439,45.24,21.95,4.35,0.44,322.63,55.0,0,206,1
11505,48.64,20.85,4.46,0.55,254.39,54.0,0,206,1
11571,59.6,7.14,5.34,0.62,108.0,26.0,0,206,1
11637,47.04,24.97,2.98,0.38,322.24,99.0,0,206,1
11703,50.07,23.07,4.4,0.51,253.22,42.0,0,206,1
13293,61.1,36.32,3.43,0.34,13.82,60.0,3,251,1
13399,53.98,27.36,4.4,0.53,251.42,84.0,3,251,1
13505,56.54,38.22,4.16,0.43,358.08,22.0,3,251,1
13611,50.23,28.99,3.08,0.3,271.47,9.0,3,251,1
13717,53.65,28.93,4.67,0.54,263.69,29.0,3,251,1
13823,57.93,30.31,2.97,0.34,266.54,64.0,3,251,1
13929,75.38,17.64,4.42,0.48,118.01,19.0,3,251,1
