playId,init_x,init_y,init_s,init_d,recv_x,recv_y,recv_s,recv_d,init_opp_1_x,init_opp_1_y,init_opp_1_s,init_opp_1_d,init_opp_2_x,init_opp_2_y,init_opp_2_s,init_opp_2_d,init_opp_3_x,init_opp_3_y,init_opp_3_s,init_opp_3_d,recv_opp_1_x,recv_opp_1_y,recv_opp_1_s,recv_opp_1_d,recv_opp_2_x,recv_opp_2_y,recv_opp_2_s,recv_opp_2_d,recv_opp_3_x,recv_opp_3_y,recv_opp_3_s,recv_opp_3_d,result
51.0,30.22,29.28,1.23,254.73,38.97,14.15,5.93,149.11,32.35,27.92,1.72,236.4,31.55,26.87,1.77,254.84,31.88,32.03,1.81,75.0,41.78,13.06,3.71,183.47,40.35,21.99,3.22,163.44,38.69,22.23,4.64,146.47,3.0
229.0,43.41,28.69,1.15,117.37,53.83,16.61,3.32,145.75,44.51,29.87,1.43,185.86,45.12,29.24,2.52,195.93,45.27,26.54,0.8,198.29,59.47,22.83,2.24,166.21,61.06,12.19,3.89,72.73,62.43,12.88,2.43,167.4,1.0
287.0,55.64,24.7,0.42,186.92,63.52,35.01,6.55,20.2,56.9,25.89,2.4,240.35,57.0,26.8,2.69,237.88,57.11,21.81,1.97,322.54,66.81,31.56,6.23,6.96,65.09,30.41,3.03,22.7,66.13,28.27,0.81,86.15,1.0
336.0,60.88,28.9,3.34,248.92,69.68,24.25,6.56,160.29,63.59,27.98,2.84,269.71,63.94,28.96,5.52,266.14,64.4,29.17,2.56,255.04,70.96,25.23,3.59,25.39,69.8,27.83,6.26,170.13,73.04,25.94,2.2,45.68,1.0
427.0,92.37,23.89,1.62,248.26,96.35,32.01,4.2,143.0,94.31,24.37,3.77,157.25,94.87,23.76,3.17,156.46,93.86,21.74,3.26,183.2,94.41,28.59,3.55,213.47,100.47,32.86,3.41,192.56,95.27,24.51,2.5,183.74,2.0
456.0,87.84,25.31,1.08,309.42,99.87,41.45,3.36,151.23,90.37,25.16,2.16,256.89,89.23,27.91,2.37,274.95,90.94,24.88,2.73,265.37,104.64,43.78,2.99,97.63,101.91,35.12,1.13,1.42,103.95,35.18,6.14,61.37,1.0
538.0,96.19,49.59,6.36,341.25,77.33,50.0,3.28,345.49,92.41,47.18,7.14,9.29,92.77,43.54,3.99,347.79,96.45,41.51,6.39,339.34,76.38,48.9,2.49,354.65,81.6,50.61,1.64,319.05,81.92,53.37,1.32,292.9,2.0
633.0,81.88,31.18,5.23,358.48,60.82,49.96,7.13,294.87,79.18,29.59,4.62,6.4,84.95,28.38,4.87,20.9,83.89,24.97,3.35,77.22,61.26,48.13,6.13,301.9,54.05,35.97,7.11,283.26,53.65,35.49,7.03,284.06,0.0
657.0,52.2,27.64,4.48,162.02,28.54,35.41,8.05,248.83,47.3,34.77,3.06,92.35,45.69,34.57,2.49,36.59,41.67,30.8,2.44,177.34,28.06,38.49,5.37,243.62,33.38,30.16,6.86,211.04,30.84,27.03,4.91,193.8,1.0
734.0,23.15,27.03,1.01,77.99,18.66,35.77,6.61,336.0,19.91,29.07,1.72,79.88,19.34,27.81,1.94,48.22,18.91,27.19,2.35,22.45,13.98,34.04,3.18,263.95,18.96,30.45,2.43,59.43,13.4,34.76,2.72,264.47,1.0
800.0,22.11,22.98,3.37,264.61,25.45,19.84,3.23,133.14,24.75,24.55,3.07,255.1,25.08,23.83,1.88,263.3,24.19,19.3,3.57,295.29,24.19,19.3,3.57,295.29,26.98,21.32,1.41,256.5,28.12,19.54,2.44,155.45,2.0
