playId,init_x,init_y,init_s,init_d,recv_x,recv_y,recv_s,recv_d,init_opp_1_x,init_opp_1_y,init_opp_1_s,init_opp_1_d,init_opp_2_x,init_opp_2_y,init_opp_2_s,init_opp_2_d,init_opp_3_x,init_opp_3_y,init_opp_3_s,init_opp_3_d,recv_opp_1_x,recv_opp_1_y,recv_opp_1_s,recv_opp_1_d,recv_opp_2_x,recv_opp_2_y,recv_opp_2_s,recv_opp_2_d,recv_opp_3_x,recv_opp_3_y,recv_opp_3_s,recv_opp_3_d,result
51.0,30.0,29.0,1.23,254.73,39.0,14.0,5.93,149.11,32.0,28.0,1.72,236.4,32.0,27.0,1.77,254.84,32.0,32.0,1.81,75.0,42.0,13.0,3.71,183.47,40.0,22.0,3.22,163.44,39.0,22.0,4.64,146.47,3.0
229.0,43.0,29.0,1.15,117.37,54.0,17.0,3.32,145.75,45.0,30.0,1.43,185.86,45.0,29.0,2.52,195.93,45.0,27.0,0.8,198.29,59.0,23.0,2.24,166.21,61.0,12.0,3.89,72.73,62.0,13.0,2.43,167.4,1.0
287.0,56.0,25.0,0.42,186.92,64.0,35.0,6.55,20.2,57.0,26.0,2.4,240.35,57.0,27.0,2.69,237.88,57.0,22.0,1.97,322.54,67.0,32.0,6.23,6.96,65.0,30.0,3.03,22.7,66.0,28.0,0.81,86.15,1.0
336.0,61.0,29.0,3.34,248.92,70.0,24.0,6.56,160.29,64.0,28.0,2.84,269.71,64.0,29.0,5.52,266.14,64.0,29.0,2.56,255.04,71.0,25.0,3.59,25.39,70.0,28.0,6.26,170.13,73.0,26.0,2.2,45.68,1.0
427.0,92.0,24.0,1.62,248.26,96.0,32.0,4.2,143.0,94.0,24.0,3.77,157.25,95.0,24.0,3.17,156.46,94.0,22.0,3.26,183.2,94.0,29.0,3.55,213.47,100.0,33.0,3.41,192.56,95.0,25.0,2.5,183.74,2.0
456.0,88.0,25.0,1.08,309.42,100.0,41.0,3.36,151.23,90.0,25.0,2.16,256.89,89.0,28.0,2.37,274.95,91.0,25.0,2.73,265.37,105.0,44.0,2.99,97.63,102.0,35.0,1.13,1.42,104.0,35.0,6.14,61.37,1.0
538.0,96.0,50.0,6.36,341.25,77.0,50.0,3.28,345.49,92.0,47.0,7.14,9.29,93.0,44.0,3.99,347.79,96.0,42.0,6.39,339.34,76.0,49.0,2.49,354.65,82.0,51.0,1.64,319.05,82.0,53.0,1.32,292.9,2.0
633.0,82.0,31.0,5.23,358.48,61.0,50.0,7.13,294.87,79.0,30.0,4.62,6.4,85.0,28.0,4.87,20.9,84.0,25.0,3.35,77.22,61.0,48.0,6.13,301.9,54.0,36.0,7.11,283.26,54.0,35.0,7.03,284.06,0.0
657.0,52.0,28.0,4.48,162.02,29.0,35.0,8.05,248.83,47.0,35.0,3.06,92.35,46.0,35.0,2.49,36.59,42.0,31.0,2.44,177.34,28.0,38.0,5.37,243.62,33.0,30.0,6.86,211.04,31.0,27.0,4.91,193.8,1.0
734.0,23.0,27.0,1.01,77.99,19.0,36.0,6.61,336.0,20.0,29.0,1.72,79.88,19.0,28.0,1.94,48.22,19.0,27.0,2.35,22.45,14.0,34.0,3.18,263.95,19.0,30.0,2.43,59.43,13.0,35.0,2.72,264.47,1.0
800.0,22.0,23.0,3.37,264.61,25.0,20.0,3.23,133.14,25.0,25.0,3.07,255.1,25.0,24.0,1.88,263.3,24.0,19.0,3.57,295.29,24.0,19.0,3.57,295.29,27.0,21.0,1.41,256.5,28.0,20.0,2.44,155.45,2.0
843.0,30.0,25.0,0.3,242.14,51.0,28.0,8.46,29.06,34.0,27.0,0.67,288.54,35.0,28.0,0.85,216.86,35.0,26.0,0.91,321.73,52.0,22.0,6.8,28.46,58.0,33.0,8.82,100.28,59.0,35.0,6.84,93.15,1.0
970.0,72.0,24.0,1.1,81.01,57.0,9.0,7.13,233.63,71.0,22.0,1.87,57.76,71.0,21.0,1.77,40.58,69.0,27.0,3.6,86.81,58.0,11.0,5.15,234.23,48.0,12.0,7.98,296.78,47.0,11.0,6.3,302.58,1.0
994.0,50.0,23.0,0.11,256.07,30.0,34.0,7.61,278.43,49.0,21.0,0.73,37.4,47.0,23.0,1.64,115.9,49.0,20.0,1.08,330.09,31.0,35.0,6.24,275.88,33.0,31.0,3.47,309.35,30.0,41.0,5.64,339.11,2.0
1058.0,49.0,24.0,0.72,88.14,46.0,35.0,1.62,38.48,47.0,21.0,3.22,56.03,47.0,20.0,1.64,56.71,45.0,22.0,2.82,327.76,46.0,32.0,3.88,7.14,42.0,36.0,4.01,78.52,47.0,29.0,4.08,89.31,1.0
1137.0,93.0,23.0,1.31,99.62,77.0,5.0,6.66,250.75,91.0,23.0,4.05,124.53,94.0,22.0,3.5,58.09,91.0,24.0,2.94,121.49,77.0,6.0,5.0,240.3,88.0,14.0,6.07,226.51,79.0,22.0,3.7,231.9,2.0
1218.0,86.0,24.0,0.95,89.81,75.0,32.0,4.19,239.59,85.0,21.0,2.95,75.14,82.0,25.0,1.23,57.0,82.0,26.0,1.53,94.93,73.0,35.0,1.94,260.49,72.0,33.0,5.05,292.74,70.0,36.0,2.68,290.79,1.0
1267.0,66.0,24.0,1.39,70.02,54.0,42.0,4.8,202.81,63.0,23.0,3.65,35.13,63.0,22.0,2.61,34.39,63.0,25.0,1.18,78.48,50.0,41.0,3.47,154.3,53.0,36.0,5.32,312.34,52.0,36.0,3.24,320.13,1.0
1291.0,61.0,23.0,4.77,192.55,53.0,11.0,5.89,178.77,61.0,25.0,4.26,183.28,62.0,25.0,5.72,197.11,58.0,23.0,4.89,178.1,52.0,12.0,6.62,174.8,58.0,23.0,4.89,178.1,45.0,23.0,3.41,181.81,2.0
1422.0,38.0,29.0,0.29,234.9,24.0,21.0,3.68,307.83,39.0,28.0,3.88,43.89,40.0,28.0,4.69,22.72,37.0,27.0,1.97,103.46,24.0,20.0,2.16,305.24,24.0,19.0,3.76,2.7,28.0,19.0,6.99,352.95,2.0
1506.0,25.0,30.0,2.03,265.95,29.0,41.0,5.79,7.99,27.0,32.0,2.88,250.69,27.0,33.0,3.84,244.05,29.0,30.0,1.71,268.81,27.0,33.0,3.84,244.05,39.0,42.0,4.09,357.31,27.0,32.0,2.88,250.69,1.0
1530.0,25.0,30.0,0.89,292.2,37.0,47.0,5.04,84.15,28.0,30.0,1.86,268.26,28.0,32.0,2.27,278.93,26.0,33.0,2.43,259.39,41.0,46.0,0.51,3.91,36.0,38.0,5.55,80.42,38.0,38.0,3.26,24.83,2.0
