index,x,y,speed,distance,direction,event,jerseyNumber,team,playId
7739,30.57,23.53,1.2,0.13,318.93,pass_forward,60.0,away,152
7746,30.47,24.62,2.03,0.27,11.29,pass_arrived,60.0,away,152
7749,30.81,25.49,2.46,0.32,19.74,pass_outcome_incomplete,60.0,away,152
7793,26.63,24.62,0.73,0.06,301.8,pass_forward,9.0,away,152
7800,26.68,24.68,0.19,0.01,330.6,pass_arrived,9.0,away,152
7803,26.63,24.65,0.2,0.02,357.71,pass_outcome_incomplete,9.0,away,152
7847,28.49,21.21,2.87,0.35,304.15,pass_forward,64.0,away,152
7854,26.67,22.35,2.85,0.33,313.5,pass_arrived,64.0,away,152
7857,26.07,23.45,2.49,0.35,315.84,pass_outcome_incomplete,64.0,away,152
7901,40.07,38.99,6.5,0.65,63.23,pass_forward,19.0,away,152
7908,44.04,41.68,7.45,0.73,60.38,pass_arrived,19.0,away,152
7911,45.94,42.95,7.82,0.78,62.1,pass_outcome_incomplete,19.0,away,152
7955,37.85,32.34,3.84,0.42,26.67,pass_forward,82.0,away,152
7962,38.24,35.52,3.98,0.44,6.45,pass_arrived,82.0,away,152
7965,38.3,36.79,3.68,0.41,1.55,pass_outcome_incomplete,82.0,away,152
8009,29.69,21.9,2.99,0.35,256.99,pass_forward,67.0,away,152
8016,27.15,21.19,2.7,0.34,265.94,pass_arrived,67.0,away,152
8019,26.24,21.25,2.13,0.29,275.38,pass_outcome_incomplete,67.0,away,152
8063,36.71,47.22,1.98,0.2,62.7,pass_forward,16.0,away,152
8070,37.01,47.99,0.36,0.08,26.93,pass_arrived,16.0,away,152
8073,36.89,48.04,0.22,0.05,247.64,pass_outcome_incomplete,16.0,away,152
8117,29.51,25.82,2.2,0.31,274.66,pass_forward,75.0,away,152
8124,28.03,26.23,1.09,0.05,288.5,pass_arrived,75.0,away,152
8127,28.01,26.4,0.57,0.09,302.32,pass_outcome_incomplete,75.0,away,152
8171,40.01,4.97,6.41,0.7,107.97,pass_forward,13.0,away,152
8178,44.81,3.73,5.97,0.65,105.49,pass_arrived,13.0,away,152
8181,46.62,3.31,5.25,0.59,104.04,pass_outcome_incomplete,13.0,away,152
8225,28.56,27.98,1.85,0.3,265.63,pass_forward,71.0,away,152
8232,27.62,27.48,0.4,0.09,227.75,pass_arrived,71.0,away,152
8235,27.8,27.33,0.48,0.08,100.24,pass_outcome_incomplete,71.0,away,152
8279,37.86,13.57,4.43,0.48,131.33,pass_forward,41.0,away,152
8286,39.8,10.41,4.28,0.54,149.63,pass_arrived,41.0,away,152
8289,40.31,9.04,3.7,0.46,153.38,pass_outcome_incomplete,41.0,away,152
8333,28.57,20.46,3.65,0.36,302.38,pass_forward,97.0,home,152
8340,26.48,21.97,2.55,0.32,322.63,pass_arrived,97.0,home,152
8343,26.32,22.73,2.03,0.34,337.09,pass_outcome_incomplete,97.0,home,152
8387,31.51,23.5,1.18,0.13,314.79,pass_forward,98.0,home,152
8394,31.35,24.39,1.29,0.15,12.74,pass_arrived,98.0,home,152
8397,31.54,24.84,1.48,0.17,27.98,pass_outcome_incomplete,98.0,home,152
8441,41.36,38.8,3.83,0.36,63.5,pass_forward,23.0,home,152
8448,44.27,40.29,5.76,0.58,63.28,pass_arrived,23.0,home,152
8451,45.98,41.19,6.57,0.67,63.66,pass_outcome_incomplete,23.0,home,152
8495,29.33,26.36,3.81,0.41,260.27,pass_forward,92.0,home,152
8502,26.44,25.69,2.91,0.4,257.68,pass_arrived,92.0,home,152
8505,25.52,25.35,2.19,0.26,257.29,pass_outcome_incomplete,92.0,home,152
8549,44.4,30.82,2.5,0.27,5.06,pass_forward,34.0,home,152
8556,44.19,33.73,4.51,0.55,338.3,pass_arrived,34.0,home,152
8559,43.48,35.3,4.88,0.59,328.82,pass_outcome_incomplete,34.0,home,152
8603,41.4,13.15,1.46,0.2,140.58,pass_forward,22.0,home,152
8610,41.55,12.21,0.61,0.05,72.08,pass_arrived,22.0,home,152
8613,41.72,12.46,1.09,0.13,30.99,pass_outcome_incomplete,22.0,home,152
8657,38.75,45.93,2.1,0.24,99.82,pass_forward,29.0,home,152
8664,40.12,45.64,1.74,0.15,142.4,pass_arrived,29.0,home,152
8667,40.36,45.12,1.85,0.23,162.58,pass_outcome_incomplete,29.0,home,152
8711,38.62,20.39,2.18,0.22,31.92,pass_forward,55.0,home,152
8718,39.39,22.7,4.13,0.44,5.33,pass_arrived,55.0,home,152
8721,39.49,24.18,4.71,0.52,359.5,pass_outcome_incomplete,55.0,home,152
8765,38.25,31.04,4.53,0.45,358.16,pass_forward,54.0,home,152
8772,37.49,35.1,5.07,0.64,346.55,pass_arrived,54.0,home,152
8775,36.96,36.81,4.54,0.57,344.09,pass_outcome_incomplete,54.0,home,152
8819,40.93,6.02,5.55,0.59,108.63,pass_forward,26.0,home,152
8826,45.09,4.58,5.65,0.64,108.66,pass_arrived,26.0,home,152
8829,46.83,4.03,5.15,0.58,107.79,pass_outcome_incomplete,26.0,home,152
8873,28.84,28.84,2.25,0.3,252.02,pass_forward,99.0,home,152
8880,28.31,28.05,1.16,0.16,159.01,pass_arrived,99.0,home,152
8883,28.75,27.58,1.83,0.23,126.74,pass_outcome_incomplete,99.0,home,152
10317,48.07,25.38,1.9,0.24,279.4,pass_forward,60.0,away,206
10325,46.38,25.59,1.57,0.13,272.76,pass_arrived,60.0,away,206
10328,46.09,25.58,1.07,0.15,269.13,pass_outcome_caught,60.0,away,206
10383,56.69,31.21,5.18,0.54,106.31,pass_forward,84.0,away,206
10391,60.77,29.06,5.12,0.61,105.9,pass_arrived,84.0,away,206
10394,62.47,28.64,4.47,0.56,98.15,pass_outcome_caught,84.0,away,206
10449,46.89,21.75,2.15,0.29,167.32,pass_forward,22.0,away,206
10457,46.26,19.7,1.67,0.31,205.27,pass_arrived,22.0,away,206
10460,45.88,19.37,1.3,0.12,220.55,pass_outcome_caught,22.0,away,206
10515,44.4,25.18,2.2,0.18,308.33,pass_forward,9.0,away,206
10523,43.45,26.46,2.15,0.23,331.37,pass_arrived,9.0,away,206
10526,43.06,27.06,2.17,0.25,336.56,pass_outcome_caught,9.0,away,206
10581,44.89,21.26,2.11,0.31,316.95,pass_forward,29.0,away,206
10589,44.32,23.46,2.82,0.29,341.07,pass_arrived,29.0,away,206
10592,44.1,24.24,2.84,0.26,344.61,pass_outcome_caught,29.0,away,206
10647,46.74,24.22,2.65,0.34,327.64,pass_forward,64.0,away,206
10655,46.18,26.15,1.32,0.16,335.8,pass_arrived,64.0,away,206
10658,46.03,26.32,0.76,0.05,332.01,pass_outcome_caught,64.0,away,206
10713,58.78,6.48,5.8,0.7,104.68,pass_forward,19.0,away,206
10721,63.25,5.84,2.99,0.36,108.57,pass_arrived,19.0,away,206
10724,63.8,5.57,1.64,0.14,126.5,pass_outcome_caught,19.0,away,206
10779,47.61,23.79,2.54,0.33,285.62,pass_forward,67.0,away,206
10787,45.34,24.6,1.52,0.16,287.38,pass_arrived,67.0,away,206
10790,45.27,24.53,0.92,0.01,291.52,pass_outcome_caught,67.0,away,206
10845,48.73,26.11,1.68,0.17,249.52,pass_forward,75.0,away,206
10853,47.09,25.6,1.64,0.24,253.78,pass_arrived,75.0,away,206
10856,46.43,25.47,1.26,0.2,257.9,pass_outcome_caught,75.0,away,206
10911,57.06,44.7,5.05,0.53,144.11,pass_forward,13.0,away,206
10919,58.16,39.85,6.0,0.65,169.62,pass_arrived,13.0,away,206
10922,58.47,37.91,5.93,0.65,173.59,pass_outcome_caught,13.0,away,206
10977,45.99,27.66,1.96,0.27,256.15,pass_forward,71.0,away,206
10985,44.83,26.71,0.64,0.14,236.16,pass_arrived,71.0,away,206
10988,44.85,26.67,0.04,0.01,78.64,pass_outcome_caught,71.0,away,206
11043,46.67,28.51,2.97,0.41,232.77,pass_forward,97.0,home,206
11051,45.68,26.95,1.12,0.09,203.94,pass_arrived,97.0,home,206
11054,45.75,26.82,0.54,0.03,162.48,pass_outcome_caught,97.0,home,206
11109,47.99,24.42,3.04,0.38,288.52,pass_forward,98.0,home,206
11117,45.54,25.32,1.77,0.22,288.97,pass_arrived,98.0,home,206
11120,45.29,25.5,1.2,0.06,291.61,pass_outcome_caught,98.0,home,206
11175,49.46,25.93,0.76,0.03,334.52,pass_forward,92.0,home,206
11183,49.85,27.39,2.44,0.27,31.68,pass_arrived,92.0,home,206
11186,50.25,28.2,2.8,0.32,38.45,pass_outcome_caught,92.0,home,206
11241,57.44,31.56,3.13,0.37,119.63,pass_forward,34.0,home,206
11249,60.15,29.58,2.65,0.36,119.98,pass_arrived,34.0,home,206
11252,60.85,29.1,1.79,0.23,109.07,pass_outcome_caught,34.0,home,206
11307,69.23,25.19,2.69,0.31,29.53,pass_forward,22.0,home,206
11315,69.49,27.71,3.16,0.42,340.43,pass_arrived,22.0,home,206
11318,68.79,28.79,3.38,0.43,329.25,pass_outcome_caught,22.0,home,206
11373,59.72,43.57,2.13,0.2,152.15,pass_forward,29.0,home,206
11381,59.44,40.27,5.22,0.6,185.62,pass_arrived,29.0,home,206
11384,59.02,38.36,5.62,0.69,186.28,pass_outcome_caught,29.0,home,206
11439,45.24,21.95,4.35,0.44,322.63,pass_forward,55.0,home,206
11447,43.9,25.35,4.1,0.45,349.76,pass_arrived,55.0,home,206
11450,43.74,26.62,3.89,0.41,359.9,pass_outcome_caught,55.0,home,206
11505,48.64,20.85,4.46,0.55,254.39,pass_forward,54.0,home,206
11513,45.78,19.88,2.32,0.22,241.74,pass_arrived,54.0,home,206
11516,45.4,19.41,1.4,0.18,224.02,pass_outcome_caught,54.0,home,206
11571,59.6,7.14,5.34,0.62,108.0,pass_forward,26.0,home,206
11579,63.85,5.9,3.17,0.38,114.07,pass_arrived,26.0,home,206
11582,64.52,5.54,1.86,0.17,122.26,pass_outcome_caught,26.0,home,206
11637,47.04,24.97,2.98,0.38,322.24,pass_forward,99.0,home,206
11645,46.02,26.94,1.41,0.18,325.49,pass_arrived,99.0,home,206
11648,45.95,26.88,0.79,0.02,330.13,pass_outcome_caught,99.0,home,206
11703,50.07,23.07,4.4,0.51,253.22,pass_forward,42.0,home,206
11711,46.49,23.0,3.63,0.45,285.56,pass_arrived,42.0,home,206
11714,45.4,23.66,3.3,0.41,303.43,pass_outcome_caught,42.0,home,206
13293,61.1,36.32,3.43,0.34,13.82,pass_forward,60.0,away,251
13300,62.01,39.22,4.32,0.47,16.4,pass_arrived,60.0,away,251
13302,62.32,40.1,4.41,0.47,17.45,pass_outcome_caught,60.0,away,251
13399,53.98,27.36,4.4,0.53,251.42,pass_forward,84.0,away,251
13406,51.25,25.85,2.84,0.35,239.36,pass_arrived,84.0,away,251
13408,50.81,25.5,2.15,0.28,237.49,pass_outcome_caught,84.0,away,251
13505,56.54,38.22,4.16,0.43,358.08,pass_forward,22.0,away,251
13512,56.69,41.33,4.65,0.46,16.55,pass_arrived,22.0,away,251
13514,56.98,42.24,4.89,0.48,23.08,pass_outcome_caught,22.0,away,251
13611,50.23,28.99,3.08,0.3,271.47,pass_forward,9.0,away,251
13618,48.3,29.5,2.31,0.26,285.72,pass_arrived,9.0,away,251
13620,47.81,29.65,2.03,0.25,288.86,pass_outcome_caught,9.0,away,251
13717,53.65,28.93,4.67,0.54,263.69,pass_forward,29.0,away,251
13724,50.05,29.12,4.04,0.46,269.64,pass_arrived,29.0,away,251
13726,49.2,29.1,3.49,0.41,269.26,pass_outcome_caught,29.0,away,251
13823,57.93,30.31,2.97,0.34,266.54,pass_forward,64.0,away,251
13830,55.41,30.21,2.9,0.35,290.8,pass_arrived,64.0,away,251
13832,54.8,30.46,2.83,0.32,303.21,pass_outcome_caught,64.0,away,251
13929,75.38,17.64,4.42,0.48,118.01,pass_forward,19.0,away,251
13936,77.09,15.92,2.24,0.26,121.4,pass_arrived,19.0,away,251
13938,77.34,15.62,1.56,0.17,113.44,pass_outcome_caught,19.0,away,251
14035,61.11,33.23,2.0,0.19,27.34,pass_forward,67.0,away,251
14042,62.08,34.53,2.96,0.26,29.84,pass_arrived,67.0,away,251
14044,62.43,35.06,3.26,0.32,30.59,pass_outcome_caught,67.0,away,251
14141,63.54,38.46,3.0,0.39,36.25,pass_forward,75.0,away,251
14148,64.46,40.02,2.25,0.19,24.06,pass_arrived,75.0,away,251
14150,64.41,40.39,2.12,0.19,20.65,pass_outcome_caught,75.0,away,251
14247,68.4,27.28,5.12,0.54,159.8,pass_forward,13.0,away,251
14254,69.43,24.1,3.95,0.43,161.78,pass_arrived,13.0,away,251
14256,69.67,23.35,3.53,0.38,161.39,pass_outcome_caught,13.0,away,251
14353,57.55,35.54,0.53,0.09,197.79,pass_forward,71.0,away,251
14360,57.83,35.03,1.3,0.09,100.27,pass_arrived,71.0,away,251
14362,58.13,35.05,1.59,0.2,93.35,pass_outcome_caught,71.0,away,251
14459,58.04,35.13,1.14,0.16,200.47,pass_forward,97.0,home,251
14466,58.18,34.31,1.21,0.14,123.47,pass_arrived,97.0,home,251
14468,58.46,34.21,1.47,0.15,108.8,pass_outcome_caught,97.0,home,251
14565,61.58,32.35,1.0,0.21,222.99,pass_forward,92.0,home,251
14572,60.9,32.38,1.38,0.17,359.54,pass_arrived,92.0,home,251
14574,60.89,32.81,2.05,0.23,10.89,pass_outcome_caught,92.0,home,251
14671,79.32,28.71,3.48,0.42,104.1,pass_forward,34.0,home,251
14678,81.72,29.06,3.22,0.35,44.41,pass_arrived,34.0,home,251
14680,82.17,29.71,3.61,0.4,27.87,pass_outcome_caught,34.0,home,251
14777,80.39,21.68,2.41,0.32,124.09,pass_forward,22.0,home,251
14784,81.65,21.29,1.9,0.22,37.2,pass_arrived,22.0,home,251
14786,81.96,21.76,2.64,0.31,18.54,pass_outcome_caught,22.0,home,251
14883,69.21,27.87,4.73,0.52,165.69,pass_forward,29.0,home,251
14890,69.91,25.23,2.39,0.28,154.51,pass_arrived,29.0,home,251
14892,70.07,24.81,1.72,0.2,140.45,pass_outcome_caught,29.0,home,251
14989,66.4,24.32,2.51,0.33,185.02,pass_forward,55.0,home,251
14996,65.99,22.93,0.72,0.11,268.32,pass_arrived,55.0,home,251
14998,65.74,23.01,1.07,0.14,323.13,pass_outcome_caught,55.0,home,251
15095,57.76,28.75,3.97,0.52,273.84,pass_forward,93.0,home,251
15102,54.58,29.7,4.3,0.51,306.04,pass_arrived,93.0,home,251
15104,53.81,30.3,4.27,0.54,317.03,pass_outcome_caught,93.0,home,251
15201,67.67,27.46,3.86,0.47,144.91,pass_forward,54.0,home,251
15208,69.03,25.4,2.2,0.25,132.89,pass_arrived,54.0,home,251
15210,69.28,25.09,1.63,0.19,116.87,pass_outcome_caught,54.0,home,251
15307,78.15,16.22,2.8,0.31,114.16,pass_forward,26.0,home,251
15314,79.08,15.23,0.74,0.07,81.15,pass_arrived,26.0,home,251
