index,x,y,speed,distance,direction,jerseyNumber,team,playId,result
1988,31.46,23.5,0.86,0.13,277.47,98.0,away,51,3
2082,34.89,34.87,1.26,0.14,130.14,94.0,away,51,3
2176,37.95,34.02,0.16,0.09,51.23,26.0,away,51,3
2270,40.47,45.1,2.45,0.37,65.64,22.0,away,51,3
2364,32.8,26.7,3.01,0.31,223.39,90.0,away,51,3
2458,32.27,26.6,2.44,0.23,250.53,95.0,away,51,3
2552,35.72,29.89,1.41,0.22,259.69,52.0,away,51,3
2646,41.78,13.06,3.71,0.38,183.47,23.0,away,51,3
2740,34.06,29.86,2.24,0.29,212.67,99.0,away,51,3
2834,54.87,27.38,4.04,0.43,172.55,20.0,away,51,3
2928,40.35,21.99,3.22,0.31,163.44,31.0,away,51,3
3022,39.9,45.91,2.76,0.4,76.29,15.0,home,51,3
3116,30.22,29.28,1.23,0.1,254.73,2.0,home,51,3
3210,31.55,26.87,1.77,0.19,254.84,63.0,home,51,3
3304,32.35,27.92,1.72,0.18,236.4,67.0,home,51,3
3398,33.33,30.25,2.05,0.26,215.37,74.0,home,51,3
3492,38.69,22.23,4.64,0.48,146.47,88.0,home,51,3
3586,38.97,14.15,5.93,0.65,149.11,11.0,home,51,3
3680,34.43,34.53,1.57,0.18,85.07,44.0,home,51,3
3774,31.88,32.03,1.81,0.22,75.0,28.0,home,51,3
3868,33.58,27.15,2.83,0.36,205.41,75.0,home,51,3
3962,31.08,24.51,1.48,0.18,245.14,77.0,home,51,3
14739,41.49,25.32,3.67,0.39,339.06,98.0,away,229,1
14828,40.1,30.02,3.9,0.5,189.8,94.0,away,229,1
14917,59.47,22.83,2.24,0.14,166.21,26.0,away,229,1
15006,63.8,11.24,3.86,0.51,81.35,22.0,away,229,1
15095,46.68,26.12,0.75,0.09,105.05,90.0,away,229,1
15184,59.84,32.17,2.79,0.26,148.13,52.0,away,229,1
15273,56.24,49.91,1.94,0.27,42.8,23.0,away,229,1
15362,69.1,38.92,2.73,0.31,118.72,38.0,away,229,1
15451,45.12,29.24,2.52,0.28,195.93,99.0,away,229,1
15540,62.43,12.88,2.43,0.26,167.4,20.0,away,229,1
15629,65.11,19.9,2.63,0.25,206.29,31.0,away,229,1
15718,62.05,25.85,5.36,0.6,37.05,15.0,home,229,1
15807,43.41,28.69,1.15,0.17,117.37,2.0,home,229,1
15896,45.27,26.54,0.8,0.08,198.29,63.0,home,229,1
15985,46.31,27.06,0.35,0.05,152.49,67.0,home,229,1
16074,40.14,30.9,4.1,0.45,214.48,74.0,home,229,1
16163,61.06,12.19,3.89,0.45,72.73,11.0,home,229,1
16252,44.51,29.87,1.43,0.11,185.86,75.0,home,229,1
16341,42.48,24.78,2.29,0.32,302.23,77.0,home,229,1
16430,57.76,51.53,5.55,0.61,63.75,81.0,home,229,1
16519,53.83,16.61,3.32,0.3,145.75,85.0,home,229,1
16608,46.31,43.28,5.47,0.59,28.29,22.0,home,229,1
18789,65.09,30.41,3.03,0.23,22.7,26.0,away,287,1
18868,74.51,34.22,5.12,0.63,83.92,22.0,away,287,1
18947,66.81,31.56,6.23,0.63,6.96,52.0,away,287,1
19026,77.28,42.05,7.03,0.71,49.73,23.0,away,287,1
19105,86.41,31.83,4.52,0.51,37.45,20.0,away,287,1
19184,64.95,21.6,1.47,0.19,252.71,31.0,away,287,1
19263,57.0,26.8,2.69,0.26,237.88,93.0,away,287,1
19342,56.05,29.2,2.07,0.36,246.88,96.0,away,287,1
19421,63.18,23.41,0.46,0.07,319.54,97.0,away,287,1
19500,61.95,25.93,0.6,0.12,275.73,92.0,away,287,1
19579,57.19,21.11,2.09,0.26,330.06,50.0,away,287,1
19658,76.04,33.13,5.2,0.63,101.43,15.0,home,287,1
19737,55.64,24.7,0.42,0.09,186.92,2.0,home,287,1
19816,61.34,24.27,0.49,0.06,222.77,63.0,home,287,1
19895,61.89,25.86,0.51,0.05,282.39,67.0,home,287,1
19974,56.47,28.95,2.59,0.35,255.81,74.0,home,287,1
20053,57.11,21.81,1.97,0.24,322.54,82.0,home,287,1
20132,75.92,42.72,8.19,0.9,62.93,11.0,home,287,1
20211,66.13,28.27,0.81,0.11,86.15,44.0,home,287,1
20290,56.9,25.89,2.4,0.23,240.35,75.0,home,287,1
