time,jerseyNumber,team,behaviour,closeTeams,distantTeams,closeOps,distantOps,coordinate,velocity,playId
0,26,1,12,"{50, 38}","{32, 4, 36, 43, 54, 22, 24, 58}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(77.76, 44.56)","(3.96, 268.1)",36
0,22,1,12,{},"{32, 4, 58, 38, 36, 43, 50, 54, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(77.88, 5.25)","(4.22, 277.23)",36
0,4,1,12,{36},"{32, 58, 38, 43, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(76.33, 24.86)","(3.41, 297.5)",36
0,38,1,12,{26},"{32, 4, 36, 43, 50, 54, 22, 24, 58}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(77.1, 47.84)","(4.85, 257.8)",36
0,54,1,12,{24},"{32, 4, 58, 38, 36, 43, 50, 22, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(77.45, 11.08)","(4.77, 276.67)",36
0,32,1,12,{58},"{4, 36, 38, 43, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(77.06, 30.45)","(4.78, 265.24)",36
0,24,1,12,"{43, 54}","{32, 4, 58, 38, 36, 50, 22, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(78.45, 13.88)","(4.14, 278.41)",36
0,58,1,12,{32},"{4, 36, 38, 43, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(77.43, 34.98)","(4.61, 264.53)",36
0,43,1,12,"{24, 36}","{32, 4, 58, 38, 50, 54, 22, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(77.25, 17.78)","(5.03, 274.33)",36
0,50,1,12,{26},"{32, 4, 36, 38, 43, 54, 22, 24, 58}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(77.9, 40.55)","(4.46, 265.02)",36
0,36,1,12,"{43, 4}","{32, 58, 38, 50, 54, 22, 24, 26}",{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 30, 31}","(76.82, 22.03)","(4.76, 280.34)",36
0,97,0,12,{},"{38, 47, 17, 82, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(60.64, 39.87)","(1.11, 263.2)",36
0,82,0,12,{},"{97, 38, 47, 17, 50, 88, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(28.49, 16.13)","(2.32, 325.93)",36
0,30,0,12,{},"{97, 38, 47, 17, 82, 50, 88, 57, 26, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(60.14, 46.61)","(1.46, 269.56)",36
0,88,0,12,{},"{97, 38, 47, 17, 82, 50, 57, 26, 30, 31}",{},"{32, 4, 58, 38, 36, 43, 50, 54, 22, 24, 26}","(28.08, 37.32)","(0.26, 253.42)",36
