time,jerseyNumber,team,behaviour,closeTeams,distantTeams,closeOps,distantOps,coordinate_x,coordinate_y,speed,direction
0,26,1,12,3,7,0,11,77.76,44.56,3.96,268.1
0,22,1,12,2,8,0,11,77.88,5.25,4.22,277.23
0,4,1,12,3,7,0,11,76.33,24.86,3.41,297.5
0,38,1,12,2,8,0,11,77.1,47.84,4.85,257.8
0,54,1,12,3,7,0,11,77.45,11.08,4.77,276.67
0,32,1,12,3,7,0,11,77.06,30.45,4.78,265.24
0,24,1,12,4,6,0,11,78.45,13.88,4.14,278.41
0,58,1,12,3,7,0,11,77.43,34.98,4.61,264.53
0,43,1,12,4,6,0,11,77.25,17.78,5.03,274.33
0,50,1,12,3,7,0,11,77.9,40.55,4.46,265.02
0,36,1,12,4,6,0,11,76.82,22.03,4.76,280.34
0,97,0,12,2,8,0,11,60.64,39.87,1.11,263.2
0,82,0,12,0,10,0,11,28.49,16.13,2.32,325.93
0,30,0,12,1,9,0,11,60.14,46.61,1.46,269.56
0,88,0,12,0,10,0,11,28.08,37.32,0.26,253.42
0,50,0,12,0,10,0,11,35.12,27.12,0.62,337.57
0,57,0,12,2,8,0,11,60.62,13.22,1.56,267.83
0,31,0,12,0,10,0,11,14.28,21.67,1.38,9.24
0,47,0,12,1,9,0,11,60.73,32.01,0.7,207.21
0,38,0,12,1,9,0,11,60.67,5.37,1.44,276.95
0,17,0,12,0,10,0,11,5.89,30.62,3.07,17.75
0,26,0,12,1,9,0,11,60.42,19.68,0.8,281.81
1,26,1,16,2,8,0,11,72.34,44.46,6.61,269.35
1,22,1,16,2,8,0,11,72.16,5.78,6.58,275.55
1,4,1,16,4,6,0,11,73.28,26.5,3.51,298.67
1,38,1,16,2,8,0,11,70.46,46.62,7.92,261.72
1,54,1,16,3,7,0,11,71.08,11.89,7.3,277.41
1,32,1,16,3,7,0,11,70.67,30.09,7.57,269.6
1,24,1,16,4,6,0,11,72.37,14.87,7.39,279.19
1,58,1,16,3,7,0,11,71.1,34.47,7.47,266.84
1,43,1,16,4,6,0,11,70.53,18.2,7.54,273.92
1,50,1,16,3,7,0,11,71.64,40.21,7.26,268.64
1,36,1,16,4,6,0,11,70.44,22.97,7.59,276.81
1,97,0,16,2,8,0,11,58.23,39.34,4.4,261.62
1,82,0,16,0,10,0,11,26.74,19.04,4.54,332.32
1,30,0,16,1,9,0,11,57.28,46.04,4.78,256.1
1,88,0,16,0,10,0,11,27.47,37.56,1.84,286.85
1,50,0,16,0,10,0,11,34.42,28.04,1.91,312.86
1,57,0,16,2,8,0,11,57.32,13.19,4.82,273.65
1,31,0,16,0,10,0,11,14.7,24.25,3.92,11.15
1,47,0,16,1,9,0,11,59.05,31.94,3.97,266.42
1,38,0,16,1,9,0,11,57.64,5.81,4.61,283.51
1,17,0,16,0,10,0,11,7.13,34.14,3.92,17.6
1,26,0,16,1,9,0,11,58.67,20.01,3.59,278.43
2,26,1,16,2,8,0,11,64.62,44.41,8.18,269.65
2,22,1,16,2,8,0,11,64.88,6.58,7.58,280.03
2,4,1,16,3,7,0,11,70.11,28.29,3.99,299.75
2,38,1,16,2,8,0,11,61.52,45.6,9.52,264.46
