time,jerseyNumber,behaviour,closeTeams,distantTeams,closeOps,distantOps,coordinate_x,coordinate_y,speed,direction
0,97,12,2,8,0,11,60.64,39.87,1.11,263.2
0,82,12,0,10,0,11,28.49,16.13,2.32,325.93
0,30,12,1,9,0,11,60.14,46.61,1.46,269.56
0,88,12,0,10,0,11,28.08,37.32,0.26,253.42
0,50,12,0,10,0,11,35.12,27.12,0.62,337.57
0,57,12,2,8,0,11,60.62,13.22,1.56,267.83
0,31,12,0,10,0,11,14.28,21.67,1.38,9.24
0,47,12,1,9,0,11,60.73,32.01,0.7,207.21
0,38,12,1,9,0,11,60.67,5.37,1.44,276.95
0,17,12,0,10,0,11,5.89,30.62,3.07,17.75
0,26,12,1,9,0,11,60.42,19.68,0.8,281.81
1,97,16,2,8,0,11,58.23,39.34,4.4,261.62
1,82,16,0,10,0,11,26.74,19.04,4.54,332.32
1,30,16,1,9,0,11,57.28,46.04,4.78,256.1
1,88,16,0,10,0,11,27.47,37.56,1.84,286.85
1,50,16,0,10,0,11,34.42,28.04,1.91,312.86
1,57,16,2,8,0,11,57.32,13.19,4.82,273.65
1,31,16,0,10,0,11,14.7,24.25,3.92,11.15
1,47,16,1,9,0,11,59.05,31.94,3.97,266.42
1,38,16,1,9,0,11,57.64,5.81,4.61,283.51
1,17,16,0,10,0,11,7.13,34.14,3.92,17.6
1,26,16,1,9,0,11,58.67,20.01,3.59,278.43
2,97,16,2,8,0,11,52.07,38.74,6.86,268.49
2,82,16,1,9,0,11,24.31,24.15,6.26,334.32
2,30,16,1,9,0,11,50.97,44.35,7.18,256.49
2,88,16,0,10,0,11,24.63,38.37,2.82,286.43
2,50,16,1,9,0,11,32.3,29.6,2.6,295.99
2,57,16,2,8,0,11,51.21,13.94,6.39,282.59
2,31,16,0,10,0,11,15.74,29.32,5.51,110.57
2,47,16,1,9,1,10,52.9,31.49,6.92,266.76
2,38,16,1,9,0,11,51.89,7.6,6.66,290.57
2,17,16,0,10,0,11,8.14,38.06,3.69,180.14
2,26,16,1,9,2,9,53.39,20.7,6.17,278.07
3,97,16,2,8,3,8,44.61,38.97,7.23,270.54
3,82,16,3,7,0,11,21.35,30.22,6.38,335.97
3,30,16,1,9,1,10,43.46,42.73,7.4,259.04
3,88,16,2,8,0,11,22.17,39.1,2.11,284.41
3,50,16,1,9,0,11,29.87,30.25,2.09,290.0
3,57,16,2,8,3,8,45.0,15.98,6.05,293.22
3,31,16,2,8,0,11,15.01,35.09,5.78,348.12
3,47,16,2,8,3,8,45.42,31.27,7.13,275.52
3,38,16,1,9,0,11,45.29,10.5,6.88,298.81
3,17,16,0,10,0,11,7.2,41.44,3.66,316.88
3,26,16,2,8,3,8,46.56,21.78,6.77,282.32
4,97,13,2,8,4,7,37.72,38.8,6.08,266.79
4,82,13,2,8,0,11,19.22,35.68,4.49,346.53
4,30,13,2,8,3,8,36.47,41.6,6.99,270.35
4,88,13,2,8,0,11,20.57,39.47,1.19,303.14
4,50,13,0,10,0,11,28.42,31.14,1.72,317.88
4,57,13,2,8,4,7,40.11,18.65,5.28,301.39
4,31,13,3,7,0,11,13.6,40.65,5.36,353.2
4,47,13,3,7,4,7,38.84,32.87,6.39,288.08
4,38,13,2,8,3,8,39.96,14.11,5.15,305.54
4,17,13,1,9,0,11,7.44,45.36,3.73,13.09
4,26,13,3,7,5,6,40.31,23.62,5.78,295.28
5,97,11,3,7,5,6,32.48,38.4,4.15,271.15
5,82,11,2,8,0,11,19.13,38.85,2.35,109.99
5,30,11,3,7,3,8,29.53,42.88,7.07,286.37
5,88,11,3,7,0,11,20.15,40.28,0.74,340.99
5,50,11,2,8,3,8,27.49,32.65,1.97,301.44
5,57,11,2,8,5,6,35.92,21.36,4.91,294.48
5,31,11,3,7,0,11,13.63,45.64,4.23,352.24
5,47,11,4,6,4,7,33.22,35.08,5.65,288.47
5,38,11,1,9,4,7,36.9,16.39,2.82,313.43
5,17,11,1,9,0,11,8.71,48.57,2.79,15.78
5,26,11,2,8,6,5,36.1,26.58,4.96,299.52
6,97,34,4,6,5,6,29.46,38.89,2.17,273.89
6,82,34,4,6,4,7,19.2,40.46,1.2,311.2
6,30,34,3,7,4,7,22.97,45.46,6.63,295.0
6,88,34,5,5,4,7,20.01,40.87,0.68,350.59
6,50,34,5,5,4,7,24.97,33.03,3.68,275.97
6,57,34,2,8,5,6,31.17,22.8,4.79,298.12
6,31,34,1,9,1,10,12.43,48.98,2.86,325.97
6,47,34,5,5,5,6,28.14,36.43,4.74,282.44
6,38,34,1,9,3,8,35.76,17.99,1.62,329.94
6,17,34,1,9,0,11,8.95,50.72,1.28,209.67
6,26,34,3,7,6,5,31.52,28.38,5.41,284.98
38,15,0,0,10,2,9,34.34,43.6,0.47,108.96
38,2,0,9,1,8,3,33.52,29.64,0.35,284.13
38,63,0,9,1,9,2,33.97,28.1,0.17,244.26
38,67,0,9,1,9,2,34.41,29.5,0.15,228.88
38,74,0,8,2,6,5,33.98,32.67,0.39,154.51
38,88,0,9,1,8,3,34.06,24.81,0.23,71.94
38,11,0,7,3,6,5,32.81,22.4,5.01,171.08
38,44,0,8,2,6,5,30.84,32.3,0.52,57.44
38,28,0,9,1,4,7,27.94,29.37,0.43,58.12
38,75,0,9,1,8,3,33.92,31.38,0.36,181.24
38,77,0,9,1,9,2,33.99,26.13,0.38,241.35
39,15,16,0,10,2,9,35.4,44.08,2.68,65.9
39,2,16,8,2,8,3,32.7,29.65,1.64,266.23
39,63,16,9,1,8,3,33.62,27.8,1.26,238.5
39,67,16,8,2,8,3,34.16,29.18,1.19,229.1
39,74,16,8,2,8,3,34.24,32.1,1.08,186.31
39,88,16,9,1,8,3,34.65,24.59,2.35,115.42
39,11,16,3,7,4,7,34.17,18.39,4.67,144.57
39,44,16,8,2,6,5,31.76,33.1,2.05,54.66
39,28,16,8,2,7,4,28.71,30.04,2.25,53.89
39,75,16,8,2,8,3,33.94,30.58,1.89,180.64
39,77,16,9,1,8,3,33.17,25.77,1.56,238.87
40,15,20,0,10,1,10,39.16,45.66,3.0,75.09
40,2,20,7,3,7,4,30.46,29.37,1.49,256.27
40,63,20,8,2,8,3,31.84,26.93,1.83,251.85
40,67,20,8,2,8,3,32.6,28.04,1.75,234.35
40,74,20,8,2,7,4,33.54,30.57,1.94,212.15
40,88,20,6,4,7,4,38.15,22.62,4.43,141.14
40,11,20,1,9,2,9,38.19,14.71,5.78,146.31
40,44,20,6,4,6,5,34.04,34.45,1.85,78.65
40,28,20,7,3,7,4,31.45,31.83,2.16,71.68
40,75,20,8,2,8,3,33.73,27.69,2.8,200.87
40,77,20,7,3,6,5,31.4,24.64,1.6,243.72
41,15,23,0,10,1,10,40.81,45.62,0.99,163.14
41,2,23,7,3,7,4,29.79,29.04,1.01,238.83
41,63,23,7,3,7,4,30.25,26.61,1.48,235.24
41,67,23,7,3,7,4,31.45,27.14,1.39,199.03
41,74,23,7,3,7,4,32.31,28.93,1.58,200.35
41,88,23,1,9,3,8,39.77,17.69,5.82,176.58
41,11,23,1,9,2,9,40.18,8.8,5.65,176.9
41,44,23,6,4,5,6,35.19,34.03,1.13,133.14
41,28,23,7,3,7,4,32.51,31.51,1.4,162.25
41,75,23,7,3,7,4,32.01,25.58,2.07,223.78
41,77,23,6,4,5,6,30.38,24.3,1.38,217.69
42,15,16,0,10,1,10,39.65,44.62,2.34,226.49
42,2,16,7,3,6,5,28.63,28.16,2.8,226.83
42,63,16,7,3,7,4,29.48,25.2,2.53,210.44
42,67,16,7,3,7,4,31.76,25.42,2.52,176.36
42,74,16,7,3,7,4,32.43,27.66,1.41,160.22
42,88,16,1,9,2,9,38.66,11.34,6.65,209.72
42,11,16,1,9,2,9,38.96,3.9,4.73,221.69
42,44,16,6,4,4,7,35.64,32.96,2.1,188.18
42,28,16,7,3,7,4,31.95,29.45,2.95,207.96
42,75,16,7,3,7,4,31.03,24.59,1.54,209.46
42,77,16,6,4,5,6,29.74,22.31,3.32,205.05
43,15,16,0,10,1,10,37.34,42.36,4.23,230.46
43,2,16,7,3,5,6,25.7,25.21,4.98,228.35
43,63,16,6,4,6,5,27.51,22.33,4.02,225.48
43,67,16,7,3,7,4,31.56,22.12,3.97,197.36
43,74,16,7,3,6,5,33.16,26.27,1.57,180.74
43,88,16,1,9,2,9,33.19,6.55,7.76,244.97
43,11,16,1,9,2,9,34.03,1.98,6.45,261.86
43,44,16,5,5,3,8,34.24,29.92,4.43,215.44
43,28,16,7,3,6,5,29.7,26.4,3.99,219.9
43,75,16,7,3,7,4,30.33,22.78,2.88,214.05
43,77,16,6,4,6,5,27.39,18.42,5.46,221.16
44,15,7,0,10,1,10,33.17,39.33,5.34,234.67
44,2,7,5,5,4,7,21.23,21.65,5.88,232.2
44,63,7,7,3,7,4,23.84,19.72,4.26,237.22
44,67,7,7,3,7,4,29.32,18.01,4.69,213.23
44,74,7,5,5,3,8,32.28,24.65,1.96,221.74
44,88,7,2,8,5,6,24.9,4.95,8.15,265.74
44,11,7,1,9,3,8,26.4,2.2,8.06,275.08
44,44,7,5,5,3,8,30.57,25.94,5.13,222.7
44,28,7,6,4,4,7,26.91,23.43,3.74,225.55
44,75,7,7,3,7,4,27.73,19.99,3.99,231.21
44,77,7,5,5,6,5,22.53,14.28,7.02,235.23
45,15,33,0,10,1,10,28.73,36.22,4.9,232.78
45,2,33,4,6,4,7,16.51,18.01,5.35,226.93
45,63,33,6,4,6,5,20.44,17.69,3.42,238.3
45,67,33,5,5,7,4,26.55,14.34,4.13,219.17
45,74,33,4,6,3,8,30.69,23.44,1.48,246.35
45,88,33,2,8,6,5,17.36,5.15,4.52,270.06
45,11,33,2,8,6,5,18.1,3.31,7.68,276.79
45,44,33,5,5,3,8,27.41,22.41,4.17,218.9
45,28,33,6,4,4,7,24.41,21.16,2.94,226.76
45,75,33,6,4,5,6,24.18,17.83,4.14,239.92
45,77,33,4,6,6,5,15.92,10.46,7.6,242.56
100,90,0,10,0,11,0,12.21,22.88,0.01,201.94
100,53,0,9,1,9,2,9.02,21.28,0.35,63.43
100,95,0,9,1,10,1,12.01,20.15,0.17,175.46
100,54,0,10,0,10,1,9.14,24.14,0.42,74.54
100,36,0,7,3,7,4,8.93,16.9,0.32,82.1
100,25,0,8,2,7,4,5.65,20.86,0.78,24.83
100,29,0,8,2,8,3,10.07,28.15,0.22,72.23
100,91,0,7,3,9,2,12.28,28.49,0.19,69.63
100,57,0,7,3,9,2,12.12,17.16,0.32,44.74
100,99,0,10,0,11,0,12.26,25.53,0.14,194.89
100,33,0,5,5,5,6,11.26,32.54,0.07,215.06
101,90,16,10,0,11,0,12.2,22.9,0.84,308.43
101,53,16,9,1,9,2,9.41,21.79,1.33,38.63
101,95,16,9,1,10,1,12.11,20.33,0.69,27.46
101,54,16,10,0,10,1,9.74,24.39,1.4,58.58
101,36,16,7,3,7,4,9.43,17.08,1.15,47.07
101,25,16,9,1,8,3,6.23,21.84,1.66,41.46
101,29,16,8,2,8,3,10.38,28.16,1.35,95.01
101,91,16,8,2,9,2,12.55,28.67,0.8,68.98
101,57,16,7,3,9,2,12.52,17.44,0.9,29.72
101,99,16,10,0,11,0,12.35,25.77,0.7,35.3
101,33,16,5,5,5,6,11.36,32.42,0.98,136.66
102,90,10,10,0,11,0,10.81,23.83,1.11,292.63
