time,jerseyNumber,team,behaviour,coordinate_x,coordinate_y,speed,direction,closeTeams_1,closeTeams_2,closeTeams_3,closeTeams_4,closeTeams_5,closeTeams_6,closeTeams_7,closeTeams_8,closeTeams_9,closeTeams_10,distantTeams_1,distantTeams_2,distantTeams_3,distantTeams_4,distantTeams_5,distantTeams_6,distantTeams_7,distantTeams_8,distantTeams_9,distantTeams_10,closeOps_1,closeOps_2,closeOps_3,closeOps_4,closeOps_5,closeOps_6,closeOps_7,closeOps_8,closeOps_9,closeOps_10,closeOps_11,distantOps_1,distantOps_2,distantOps_3,distantOps_4,distantOps_5,distantOps_6,distantOps_7,distantOps_8,distantOps_9,distantOps_10,distantOps_11
0,17,0,12,5.89,30.62,3.07,17.75,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,26,30,31,38,47,50,57,82,88,97,17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,22,24,26,30,31,32,36,38,43,47
0,26,0,12,60.42,19.68,0.8,281.81,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,30,31,38,47,50,57,82,88,97,26,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,17,22,24,26,30,31,32,36,38,43
0,30,0,12,60.14,46.61,1.46,269.56,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,26,31,38,47,50,57,82,88,97,30,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,17,22,24,26,31,32,36,38,43,47
0,31,0,12,14.28,21.67,1.38,9.24,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,26,30,38,47,50,57,82,88,97,31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,17,22,24,26,30,32,36,38,43,47
0,38,0,12,60.67,5.37,1.44,276.95,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,26,30,31,47,50,57,82,88,97,38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,17,22,24,26,30,31,32,36,38,43
0,47,0,12,60.73,32.01,0.7,207.21,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,26,30,31,38,50,57,82,88,97,47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,17,22,24,26,30,31,32,36,38,43
0,50,0,12,35.12,27.12,0.62,337.57,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,26,30,31,38,47,57,82,88,97,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,17,22,24,26,30,31,32,36,38,43
0,57,0,12,60.62,13.22,1.56,267.83,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,26,30,31,38,47,50,82,88,97,57,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,17,22,24,26,30,31,32,36,38,43
0,82,0,12,28.49,16.13,2.32,325.93,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,26,30,31,38,47,50,57,88,97,82,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,17,22,24,26,30,31,32,36,38,43
0,88,0,12,28.08,37.32,0.26,253.42,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,26,30,31,38,47,50,57,82,97,88,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,17,22,24,26,30,31,32,36,38,43
0,97,0,12,60.64,39.87,1.11,263.2,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,26,30,31,38,47,50,57,82,88,97,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,4,17,22,24,26,30,31,32,36,38,43
0,4,1,12,76.33,24.86,3.41,297.5,4,36,-1,-1,-1,-1,-1,-1,-1,-1,22,24,26,32,38,43,50,54,58,-1,4,36,-1,-1,-1,-1,-1,-1,-1,-1,-1,17,22,24,26,30,31,32,38,43,47,50
