time,x,y,speed,direction,event,jerseyNumber,team,frameId,playId
0,77.76,44.56,3.96,268.1,kickoff,26,1,,36
0,77.88,5.25,4.22,277.23,kickoff,22,1,,36
0,76.33,24.86,3.41,297.5,kickoff,4,1,,36
0,77.1,47.84,4.85,257.8,kickoff,38,1,,36
0,77.45,11.08,4.77,276.67,kickoff,54,1,,36
0,77.06,30.45,4.78,265.24,kickoff,32,1,,36
0,78.45,13.88,4.14,278.41,kickoff,24,1,,36
0,77.43,34.98,4.61,264.53,kickoff,58,1,,36
0,77.25,17.78,5.03,274.33,kickoff,43,1,,36
0,77.9,40.55,4.46,265.02,kickoff,50,1,,36
0,76.82,22.03,4.76,280.34,kickoff,36,1,,36
0,60.64,39.87,1.11,263.2,kickoff,97,0,,36
0,28.49,16.13,2.32,325.93,kickoff,82,0,,36
0,60.14,46.61,1.46,269.56,kickoff,30,0,,36
0,28.08,37.32,0.26,253.42,kickoff,88,0,,36
0,35.12,27.12,0.62,337.57,kickoff,50,0,,36
0,60.62,13.22,1.56,267.83,kickoff,57,0,,36
0,14.28,21.67,1.38,9.24,kickoff,31,0,,36
0,60.73,32.01,0.7,207.21,kickoff,47,0,,36
0,60.67,5.37,1.44,276.95,kickoff,38,0,,36
0,5.89,30.62,3.07,17.75,kickoff,17,0,,36
0,60.42,19.68,0.8,281.81,kickoff,26,0,,36
