Variable i,Variable j,Time lag of i,Link type i --- j,Link value
jerseyNumber,jerseyNumber,1,-->,-0.038469
jerseyNumber,jerseyNumber,2,-->,-0.15949
jerseyNumber,jerseyNumber,3,-->,-0.06651
jerseyNumber,jerseyNumber,4,-->,-0.032949
jerseyNumber,jerseyNumber,5,-->,-0.13186
jerseyNumber,team,0,o-o,0.12321
jerseyNumber,team,3,-->,0.055762
jerseyNumber,team,4,-->,0.023529
jerseyNumber,team,5,-->,-0.03194
jerseyNumber,coordinate_x,0,o-o,-0.028952
jerseyNumber,speed,0,o-o,-0.18199
jerseyNumber,speed,1,-->,0.058323
jerseyNumber,speed,2,-->,0.049788
jerseyNumber,speed,3,-->,-0.02505
jerseyNumber,speed,4,-->,-0.036634
jerseyNumber,closeTeams_1,0,o-o,0.20895
jerseyNumber,closeTeams_1,1,-->,0.021221
jerseyNumber,closeTeams_1,2,-->,-0.030652
jerseyNumber,closeTeams_1,4,-->,-0.02343
jerseyNumber,closeTeams_1,5,-->,-0.043881
jerseyNumber,closeTeams_2,0,o-o,0.24947
jerseyNumber,closeTeams_2,1,-->,-0.022128
jerseyNumber,closeTeams_2,2,-->,-0.093003
jerseyNumber,closeTeams_2,3,-->,-0.035246
jerseyNumber,closeTeams_2,5,-->,-0.029877
jerseyNumber,closeTeams_3,0,o-o,0.24402
jerseyNumber,closeTeams_3,1,-->,-0.035148
jerseyNumber,closeTeams_3,2,-->,-0.096634
jerseyNumber,closeTeams_3,3,-->,-0.028255
jerseyNumber,closeTeams_3,5,-->,-0.022618
jerseyNumber,closeTeams_4,0,o-o,0.21584
jerseyNumber,closeTeams_4,1,-->,-0.045947
jerseyNumber,closeTeams_4,2,-->,-0.097276
jerseyNumber,closeTeams_4,5,-->,-0.033494
jerseyNumber,closeTeams_5,0,o-o,0.17776
jerseyNumber,closeTeams_5,1,-->,-0.044084
jerseyNumber,closeTeams_5,2,-->,-0.064121
jerseyNumber,closeTeams_5,5,-->,-0.025368
jerseyNumber,closeTeams_6,0,o-o,0.12822
jerseyNumber,closeTeams_6,1,-->,-0.040203
jerseyNumber,closeTeams_6,2,-->,-0.046953
jerseyNumber,closeTeams_6,3,-->,0.02729
jerseyNumber,closeTeams_6,5,-->,-0.03636
jerseyNumber,closeTeams_7,0,o-o,0.083156
jerseyNumber,closeTeams_7,1,-->,-0.021671
jerseyNumber,closeTeams_7,2,-->,-0.031703
jerseyNumber,closeTeams_7,5,-->,-0.022595
jerseyNumber,closeTeams_8,0,o-o,0.047544
jerseyNumber,closeTeams_8,2,-->,-0.024659
jerseyNumber,closeTeams_9,2,-->,-0.023671
jerseyNumber,distantTeams_1,0,o-o,0.031308
jerseyNumber,distantTeams_1,1,-->,0.065895
jerseyNumber,distantTeams_1,2,-->,0.058228
jerseyNumber,distantTeams_1,3,-->,-0.022703
jerseyNumber,distantTeams_1,4,-->,0.020734
jerseyNumber,distantTeams_1,5,-->,0.028319
jerseyNumber,distantTeams_2,0,o-o,-0.04394
jerseyNumber,distantTeams_2,1,-->,0.052617
jerseyNumber,distantTeams_2,2,-->,0.05518
jerseyNumber,distantTeams_2,5,-->,0.039582
jerseyNumber,distantTeams_3,0,o-o,-0.10998
jerseyNumber,distantTeams_3,2,-->,0.052673
jerseyNumber,distantTeams_4,0,o-o,-0.20407
jerseyNumber,distantTeams_4,1,-->,0.034917
jerseyNumber,distantTeams_4,2,-->,0.022927
jerseyNumber,distantTeams_4,5,-->,0.043733
jerseyNumber,distantTeams_5,0,o-o,-0.20521
jerseyNumber,distantTeams_5,1,-->,0.085055
jerseyNumber,distantTeams_5,5,-->,0.050193
jerseyNumber,distantTeams_6,0,o-o,-0.21756
jerseyNumber,distantTeams_6,1,-->,0.08426
jerseyNumber,distantTeams_6,2,-->,0.069277
jerseyNumber,distantTeams_6,5,-->,0.04018
jerseyNumber,distantTeams_7,0,o-o,-0.26549
