Variable i,Variable j,Time lag of i,Link type i --- j,Link value
jerseyNumber,jerseyNumber,1,-->,-0.078577
jerseyNumber,jerseyNumber,2,-->,-0.24654
jerseyNumber,jerseyNumber,3,-->,-0.035508
jerseyNumber,jerseyNumber,4,-->,0.074817
jerseyNumber,jerseyNumber,5,-->,-0.088627
jerseyNumber,closeTeams,0,o-o,0.38955
jerseyNumber,closeTeams,1,-->,-0.039721
jerseyNumber,closeTeams,2,-->,-0.14131
jerseyNumber,closeTeams,3,-->,-0.11144
jerseyNumber,distantTeams,0,o-o,-0.38854
jerseyNumber,distantTeams,1,-->,0.040149
jerseyNumber,distantTeams,2,-->,0.14055
jerseyNumber,distantTeams,3,-->,0.11393
jerseyNumber,closeOps,0,o-o,0.49235
jerseyNumber,closeOps,2,-->,-0.16251
jerseyNumber,closeOps,3,-->,-0.096746
jerseyNumber,closeOps,4,-->,-0.033148
jerseyNumber,distantOps,0,o-o,-0.49936
jerseyNumber,distantOps,2,-->,0.12004
jerseyNumber,distantOps,3,-->,0.099673
jerseyNumber,coordinate_x,0,o-o,-0.059815
jerseyNumber,speed,0,o-o,-0.20812
jerseyNumber,speed,1,-->,0.051527
behaviour,behaviour,1,-->,0.67605
behaviour,closeTeams,0,o-o,-0.061382
behaviour,closeTeams,1,-->,-0.046588
behaviour,distantTeams,0,o-o,0.059626
behaviour,distantTeams,1,-->,0.046507
behaviour,closeOps,0,o-o,-0.050676
behaviour,distantOps,0,o-o,0.048111
behaviour,speed,0,o-o,0.083794
behaviour,speed,1,-->,0.053668
closeTeams,jerseyNumber,2,-->,-0.058033
closeTeams,jerseyNumber,3,-->,-0.047012
closeTeams,closeTeams,1,-->,0.15988
closeTeams,closeTeams,2,-->,0.10714
closeTeams,closeTeams,3,-->,0.097088
closeTeams,closeTeams,4,-->,0.16546
closeTeams,distantTeams,0,o-o,-0.99956
closeTeams,distantTeams,5,-->,-0.092294
closeTeams,closeOps,0,o-o,0.78973
closeTeams,closeOps,5,-->,0.052164
closeTeams,distantOps,0,o-o,-0.78554
closeTeams,distantOps,3,-->,0.031663
closeTeams,distantOps,4,-->,0.040171
closeTeams,coordinate_x,0,o-o,-0.085302
closeTeams,speed,0,o-o,-0.28001
closeTeams,direction,0,o-o,0.042103
distantTeams,jerseyNumber,2,-->,0.05693
distantTeams,jerseyNumber,3,-->,0.046732
distantTeams,closeTeams,5,-->,-0.096159
distantTeams,distantTeams,2,-->,0.10917
distantTeams,distantTeams,3,-->,0.091961
distantTeams,distantTeams,4,-->,0.095189
distantTeams,closeOps,0,o-o,-0.79021
distantTeams,closeOps,1,-->,0.05067
distantTeams,distantOps,0,o-o,0.78568
distantTeams,distantOps,1,-->,0.070135
distantTeams,distantOps,2,-->,0.13257
distantTeams,coordinate_x,0,o-o,0.084542
distantTeams,speed,0,o-o,0.27968
distantTeams,direction,0,o-o,-0.041333
distantTeams,direction,2,-->,0.029014
closeOps,jerseyNumber,1,-->,0.03013
closeOps,jerseyNumber,5,-->,-0.063852
closeOps,closeTeams,5,-->,-0.028377
closeOps,closeOps,1,-->,0.11925
closeOps,distantOps,0,o-o,-0.99958
closeOps,distantOps,1,-->,-0.11596
closeOps,distantOps,2,-->,-0.12558
closeOps,coordinate_x,0,o-o,-0.078573
closeOps,speed,0,o-o,-0.20379
closeOps,speed,2,-->,-0.034964
closeOps,direction,0,o-o,0.030744
distantOps,jerseyNumber,1,-->,-0.039595
distantOps,jerseyNumber,3,-->,0.040766
distantOps,jerseyNumber,4,-->,0.032654
distantOps,jerseyNumber,5,-->,0.049844
distantOps,closeOps,2,-->,-0.089368
distantOps,closeOps,3,-->,-0.051488
distantOps,closeOps,4,-->,-0.12654
distantOps,distantOps,1,-->,0.14107
distantOps,distantOps,2,-->,0.11457
distantOps,distantOps,3,-->,0.1285
distantOps,distantOps,4,-->,0.15456
distantOps,distantOps,5,-->,0.035854
distantOps,coordinate_x,0,o-o,0.080915
distantOps,speed,0,o-o,0.21161
distantOps,speed,1,-->,0.05596
distantOps,speed,2,-->,0.03224
distantOps,direction,0,o-o,-0.032655
coordinate_x,jerseyNumber,3,-->,-0.028425
coordinate_x,closeTeams,3,-->,-0.041524
coordinate_x,distantTeams,3,-->,0.041884
coordinate_x,closeOps,1,-->,0.030589
coordinate_x,closeOps,3,-->,-0.045452
coordinate_x,closeOps,4,-->,0.029912
coordinate_x,distantOps,1,-->,-0.028759
coordinate_x,distantOps,3,-->,0.037418
coordinate_x,coordinate_x,1,-->,0.28451
coordinate_x,coordinate_x,2,-->,0.14904
coordinate_x,coordinate_x,3,-->,0.12846
coordinate_x,coordinate_x,4,-->,0.16041
coordinate_x,coordinate_y,0,o-o,0.039486
coordinate_x,coordinate_y,1,-->,0.055678
coordinate_x,coordinate_y,3,-->,0.056646
coordinate_x,speed,0,o-o,0.046872
coordinate_x,direction,0,o-o,-0.10092
coordinate_x,direction,2,-->,0.067714
coordinate_x,direction,3,-->,-0.035171
coordinate_y,jerseyNumber,4,-->,0.040878
coordinate_y,jerseyNumber,5,-->,-0.042255
coordinate_y,closeTeams,4,-->,0.032123
coordinate_y,distantTeams,4,-->,-0.031656
coordinate_y,closeOps,4,-->,0.033755
coordinate_y,coordinate_x,3,-->,-0.053099
coordinate_y,coordinate_x,4,-->,-0.03947
coordinate_y,coordinate_y,1,-->,0.12314
coordinate_y,coordinate_y,2,-->,0.12193
coordinate_y,coordinate_y,3,-->,0.02996
coordinate_y,coordinate_y,4,-->,0.053382
coordinate_y,coordinate_y,5,-->,0.0863
coordinate_y,direction,0,o-o,-0.041375
coordinate_y,direction,5,-->,0.030516
speed,jerseyNumber,1,-->,-0.074799
speed,closeTeams,1,-->,-0.062271
speed,closeTeams,3,-->,0.039219
speed,distantTeams,1,-->,0.062408
speed,distantTeams,3,-->,-0.035624
speed,closeOps,1,-->,-0.071454
speed,closeOps,2,-->,-0.029035
speed,closeOps,3,-->,0.038464
speed,distantOps,1,-->,0.065586
speed,distantOps,2,-->,0.02846
speed,distantOps,3,-->,-0.030408
