time,x,y,speed,direction,event,jerseyNumber,team,frameId,playId
0,77.76,44.56,3.96,268.1,kickoff,26,1,,36
1,72.34,44.46,6.61,269.35,none,26,1,,36
2,64.62,44.41,8.18,269.65,none,26,1,,36
3,56.04,44.37,8.61,270.78,none,26,1,,36
4,47.44,44.69,8.46,276.15,kickoff_land,26,1,,36
5,39.26,46.18,7.89,282.53,kick_received,26,1,,36
6,32.08,48.03,6.69,284.14,touchback,26,1,,36
0,77.88,5.25,4.22,277.23,kickoff,22,1,,36
1,72.16,5.78,6.58,275.55,none,22,1,,36
2,64.88,6.58,7.58,280.03,none,22,1,,36
3,57.3,8.46,7.86,288.67,none,22,1,,36
4,50.05,11.59,7.7,296.82,kickoff_land,22,1,,36
5,43.58,15.35,7.05,304.42,kick_received,22,1,,36
6,38.45,19.54,6.07,313.61,touchback,22,1,,36
0,76.33,24.86,3.41,297.5,kickoff,4,1,,36
1,73.28,26.5,3.51,298.67,none,4,1,,36
2,70.11,28.29,3.99,299.75,none,4,1,,36
3,66.38,30.42,4.35,297.86,none,4,1,,36
4,62.43,32.35,4.46,296.78,kickoff_land,4,1,,36
5,58.43,34.47,4.66,299.79,kick_received,4,1,,36
6,54.34,36.97,4.7,302.07,touchback,4,1,,36
0,77.1,47.84,4.85,257.8,kickoff,38,1,,36
1,70.46,46.62,7.92,261.72,none,38,1,,36
2,61.52,45.6,9.52,264.46,none,38,1,,36
3,51.58,44.79,10.09,267.44,none,38,1,,36
4,41.39,44.77,10.18,274.78,kickoff_land,38,1,,36
5,31.34,46.49,10.09,281.66,kick_received,38,1,,36
6,21.64,48.71,9.56,279.48,touchback,38,1,,36
0,77.45,11.08,4.77,276.67,kickoff,54,1,,36
1,71.08,11.89,7.3,277.41,none,54,1,,36
2,63.06,12.99,8.48,279.55,none,54,1,,36
3,54.42,14.69,8.73,281.15,none,54,1,,36
4,46.0,16.37,8.03,287.5,kickoff_land,54,1,,36
5,39.22,19.6,7.35,308.1,kick_received,54,1,,36
6,34.48,25.31,7.55,324.5,touchback,54,1,,36
0,77.06,30.45,4.78,265.24,kickoff,32,1,,36
1,70.67,30.09,7.57,269.6,none,32,1,,36
2,62.02,30.38,9.21,273.11,none,32,1,,36
3,52.35,31.07,9.81,272.31,none,32,1,,36
4,42.48,31.1,9.52,270.13,kickoff_land,32,1,,36
5,33.4,31.3,8.25,281.69,kick_received,32,1,,36
6,26.4,34.35,7.47,297.24,touchback,32,1,,36
0,78.45,13.88,4.14,278.41,kickoff,24,1,,36
1,72.37,14.87,7.39,279.19,none,24,1,,36
2,63.96,16.2,8.94,279.28,none,24,1,,36
3,54.81,17.78,9.3,281.42,none,24,1,,36
4,45.76,19.86,8.99,280.99,kickoff_land,24,1,,36
5,37.18,21.12,8.24,278.73,kick_received,24,1,,36
6,29.52,22.6,7.52,293.68,touchback,24,1,,36
0,77.43,34.98,4.61,264.53,kickoff,58,1,,36
1,71.1,34.47,7.47,266.84,none,58,1,,36
2,62.6,34.18,9.03,268.76,none,58,1,,36
3,53.11,34.11,9.6,272.16,none,58,1,,36
4,43.48,34.95,9.26,277.71,kickoff_land,58,1,,36
5,34.82,36.48,8.12,277.38,kick_received,58,1,,36
6,27.36,37.02,6.95,276.31,touchback,58,1,,36
0,77.25,17.78,5.03,274.33,kickoff,43,1,,36
1,70.53,18.2,7.54,273.92,none,43,1,,36
2,62.26,18.85,8.61,276.4,none,43,1,,36
3,53.48,20.15,8.85,281.68,none,43,1,,36
4,45.0,22.48,8.44,290.32,kickoff_land,43,1,,36
5,37.7,25.85,7.2,290.05,kick_received,43,1,,36
6,31.4,27.4,6.65,284.84,touchback,43,1,,36
0,77.9,40.55,4.46,265.02,kickoff,50,1,,36
1,71.64,40.21,7.26,268.64,none,50,1,,36
2,63.46,40.21,8.62,270.48,none,50,1,,36
3,54.46,40.34,9.08,270.17,none,50,1,,36
4,45.33,40.26,8.95,270.67,kickoff_land,50,1,,36
5,36.58,40.64,8.51,277.8,kick_received,50,1,,36
6,28.51,42.52,7.98,284.25,touchback,50,1,,36
0,76.82,22.03,4.76,280.34,kickoff,36,1,,36
1,70.44,22.97,7.59,276.81,none,36,1,,36
2,61.85,23.86,9.12,277.56,none,36,1,,36
3,52.45,25.38,9.6,280.32,none,36,1,,36
4,42.98,27.26,9.47,281.48,kickoff_land,36,1,,36
5,33.95,29.16,8.56,283.12,kick_received,36,1,,36
6,26.3,31.11,7.75,285.38,touchback,36,1,,36
0,60.64,39.87,1.11,263.2,kickoff,97,0,,36
1,58.23,39.34,4.4,261.62,none,97,0,,36
2,52.07,38.74,6.86,268.49,none,97,0,,36
3,44.61,38.97,7.23,270.54,none,97,0,,36
