time,x,y,speed,direction,event,jerseyNumber,team,frameId,playId
0,5.89,30.62,3.07,17.75,kickoff,17,0,,36
0,60.42,19.68,0.8,281.81,kickoff,26,0,,36
0,60.14,46.61,1.46,269.56,kickoff,30,0,,36
0,14.28,21.67,1.38,9.24,kickoff,31,0,,36
0,60.67,5.37,1.44,276.95,kickoff,38,0,,36
0,60.73,32.01,0.7,207.21,kickoff,47,0,,36
0,35.12,27.12,0.62,337.57,kickoff,50,0,,36
0,60.62,13.22,1.56,267.83,kickoff,57,0,,36
0,28.49,16.13,2.32,325.93,kickoff,82,0,,36
0,28.08,37.32,0.26,253.42,kickoff,88,0,,36
0,60.64,39.87,1.11,263.2,kickoff,97,0,,36
0,76.33,24.86,3.41,297.5,kickoff,4,1,,36
0,77.88,5.25,4.22,277.23,kickoff,22,1,,36
0,78.45,13.88,4.14,278.41,kickoff,24,1,,36
0,77.76,44.56,3.96,268.1,kickoff,26,1,,36
0,77.06,30.45,4.78,265.24,kickoff,32,1,,36
0,76.82,22.03,4.76,280.34,kickoff,36,1,,36
0,77.1,47.84,4.85,257.8,kickoff,38,1,,36
0,77.25,17.78,5.03,274.33,kickoff,43,1,,36
0,77.9,40.55,4.46,265.02,kickoff,50,1,,36
0,77.45,11.08,4.77,276.67,kickoff,54,1,,36
0,77.43,34.98,4.61,264.53,kickoff,58,1,,36
1,7.13,34.14,3.92,17.6,none,17,0,,36
1,58.67,20.01,3.59,278.43,none,26,0,,36
1,57.28,46.04,4.78,256.1,none,30,0,,36
1,14.7,24.25,3.92,11.15,none,31,0,,36
1,57.64,5.81,4.61,283.51,none,38,0,,36
1,59.05,31.94,3.97,266.42,none,47,0,,36
1,34.42,28.04,1.91,312.86,none,50,0,,36
1,57.32,13.19,4.82,273.65,none,57,0,,36
1,26.74,19.04,4.54,332.32,none,82,0,,36
1,27.47,37.56,1.84,286.85,none,88,0,,36
1,58.23,39.34,4.4,261.62,none,97,0,,36
1,73.28,26.5,3.51,298.67,none,4,1,,36
1,72.16,5.78,6.58,275.55,none,22,1,,36
1,72.37,14.87,7.39,279.19,none,24,1,,36
1,72.34,44.46,6.61,269.35,none,26,1,,36
1,70.67,30.09,7.57,269.6,none,32,1,,36
1,70.44,22.97,7.59,276.81,none,36,1,,36
1,70.46,46.62,7.92,261.72,none,38,1,,36
1,70.53,18.2,7.54,273.92,none,43,1,,36
1,71.64,40.21,7.26,268.64,none,50,1,,36
1,71.08,11.89,7.3,277.41,none,54,1,,36
1,71.1,34.47,7.47,266.84,none,58,1,,36
2,8.14,38.06,3.69,180.14,none,17,0,,36
2,53.39,20.7,6.17,278.07,none,26,0,,36
2,50.97,44.35,7.18,256.49,none,30,0,,36
2,15.74,29.32,5.51,110.57,none,31,0,,36
2,51.89,7.6,6.66,290.57,none,38,0,,36
2,52.9,31.49,6.92,266.76,none,47,0,,36
2,32.3,29.6,2.6,295.99,none,50,0,,36
2,51.21,13.94,6.39,282.59,none,57,0,,36
2,24.31,24.15,6.26,334.32,none,82,0,,36
2,24.63,38.37,2.82,286.43,none,88,0,,36
2,52.07,38.74,6.86,268.49,none,97,0,,36
2,70.11,28.29,3.99,299.75,none,4,1,,36
2,64.88,6.58,7.58,280.03,none,22,1,,36
2,63.96,16.2,8.94,279.28,none,24,1,,36
2,64.62,44.41,8.18,269.65,none,26,1,,36
2,62.02,30.38,9.21,273.11,none,32,1,,36
2,61.85,23.86,9.12,277.56,none,36,1,,36
2,61.52,45.6,9.52,264.46,none,38,1,,36
2,62.26,18.85,8.61,276.4,none,43,1,,36
2,63.46,40.21,8.62,270.48,none,50,1,,36
2,63.06,12.99,8.48,279.55,none,54,1,,36
2,62.6,34.18,9.03,268.76,none,58,1,,36
3,7.2,41.44,3.66,316.88,none,17,0,,36
3,46.56,21.78,6.77,282.32,none,26,0,,36
3,43.46,42.73,7.4,259.04,none,30,0,,36
3,15.01,35.09,5.78,348.12,none,31,0,,36
3,45.29,10.5,6.88,298.81,none,38,0,,36
3,45.42,31.27,7.13,275.52,none,47,0,,36
3,29.87,30.25,2.09,290.0,none,50,0,,36
3,45.0,15.98,6.05,293.22,none,57,0,,36
3,21.35,30.22,6.38,335.97,none,82,0,,36
3,22.17,39.1,2.11,284.41,none,88,0,,36
3,44.61,38.97,7.23,270.54,none,97,0,,36
3,66.38,30.42,4.35,297.86,none,4,1,,36
3,57.3,8.46,7.86,288.67,none,22,1,,36
3,54.81,17.78,9.3,281.42,none,24,1,,36
3,56.04,44.37,8.61,270.78,none,26,1,,36
3,52.35,31.07,9.81,272.31,none,32,1,,36
3,52.45,25.38,9.6,280.32,none,36,1,,36
3,51.58,44.79,10.09,267.44,none,38,1,,36
3,53.48,20.15,8.85,281.68,none,43,1,,36
3,54.46,40.34,9.08,270.17,none,50,1,,36
3,54.42,14.69,8.73,281.15,none,54,1,,36
3,53.11,34.11,9.6,272.16,none,58,1,,36
4,7.44,45.36,3.73,13.09,kickoff_land,17,0,,36
4,40.31,23.62,5.78,295.28,kickoff_land,26,0,,36
4,36.47,41.6,6.99,270.35,kickoff_land,30,0,,36
4,13.6,40.65,5.36,353.2,kickoff_land,31,0,,36
4,39.96,14.11,5.15,305.54,kickoff_land,38,0,,36
4,38.84,32.87,6.39,288.08,kickoff_land,47,0,,36
4,28.42,31.14,1.72,317.88,kickoff_land,50,0,,36
4,40.11,18.65,5.28,301.39,kickoff_land,57,0,,36
4,19.22,35.68,4.49,346.53,kickoff_land,82,0,,36
4,20.57,39.47,1.19,303.14,kickoff_land,88,0,,36
4,37.72,38.8,6.08,266.79,kickoff_land,97,0,,36
4,62.43,32.35,4.46,296.78,kickoff_land,4,1,,36
4,50.05,11.59,7.7,296.82,kickoff_land,22,1,,36
4,45.76,19.86,8.99,280.99,kickoff_land,24,1,,36
4,47.44,44.69,8.46,276.15,kickoff_land,26,1,,36
4,42.48,31.1,9.52,270.13,kickoff_land,32,1,,36
4,42.98,27.26,9.47,281.48,kickoff_land,36,1,,36
4,41.39,44.77,10.18,274.78,kickoff_land,38,1,,36
4,45.0,22.48,8.44,290.32,kickoff_land,43,1,,36
4,45.33,40.26,8.95,270.67,kickoff_land,50,1,,36
4,46.0,16.37,8.03,287.5,kickoff_land,54,1,,36
4,43.48,34.95,9.26,277.71,kickoff_land,58,1,,36
5,8.71,48.57,2.79,15.78,kick_received,17,0,,36
5,36.1,26.58,4.96,299.52,kick_received,26,0,,36
5,29.53,42.88,7.07,286.37,kick_received,30,0,,36
5,13.63,45.64,4.23,352.24,kick_received,31,0,,36
5,36.9,16.39,2.82,313.43,kick_received,38,0,,36
5,33.22,35.08,5.65,288.47,kick_received,47,0,,36
5,27.49,32.65,1.97,301.44,kick_received,50,0,,36
5,35.92,21.36,4.91,294.48,kick_received,57,0,,36
5,19.13,38.85,2.35,109.99,kick_received,82,0,,36
5,20.15,40.28,0.74,340.99,kick_received,88,0,,36
5,32.48,38.4,4.15,271.15,kick_received,97,0,,36
5,58.43,34.47,4.66,299.79,kick_received,4,1,,36
5,43.58,15.35,7.05,304.42,kick_received,22,1,,36
5,37.18,21.12,8.24,278.73,kick_received,24,1,,36
5,39.26,46.18,7.89,282.53,kick_received,26,1,,36
5,33.4,31.3,8.25,281.69,kick_received,32,1,,36
5,33.95,29.16,8.56,283.12,kick_received,36,1,,36
5,31.34,46.49,10.09,281.66,kick_received,38,1,,36
5,37.7,25.85,7.2,290.05,kick_received,43,1,,36
5,36.58,40.64,8.51,277.8,kick_received,50,1,,36
5,39.22,19.6,7.35,308.1,kick_received,54,1,,36
5,34.82,36.48,8.12,277.38,kick_received,58,1,,36
6,8.95,50.72,1.28,209.67,touchback,17,0,,36
6,31.52,28.38,5.41,284.98,touchback,26,0,,36
6,22.97,45.46,6.63,295.0,touchback,30,0,,36
